к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на электровозах 2ЭС6;;;
;;;
N;Неисправность;Возможная причина;Способ устранения
33;После включения АБ отключается АЗВ SF19 или происходит значительная просадка напряжения цепей управления и отключаются оба монитора.;Короткое замыкание в элементах АБ;АЗВ SF19 не включать, запустить электровоз, используя АБ исправной секции.
34;Срабатывание SF35;Короткое замыкание в проводе 309;После восстановления повторное срабатывание SF35. АЗВ не восстанавливать, проверить состояние SF35 на задней секции, если включен отключить, проверить состояние бортовой сети задней секции. Если напряжение в норме и работают оба монитора задней кабины дальнейшее следование с выключенными SF35 обеих секций. Питание бортовой сети каждой секции от своего ПЧ.
35;Срабатывание SF34;Короткое замыкание в проводе 307;После восстановления повторное срабатывание SF34. АЗВ не восстанавливать, проверить состояние SF34 на задней секции, если включен отключить, проверить состояние бортовой сети задней секции Если напряжение в норме дальнейшее следование с выключенными SF34 обеих секций. Питание бортовой сети каждой секции от своего ПЧ.
36;Срабатывание АЗВ SF10;"Короткое замыкание в цепи источника питания G1 ""системы безопасности"".";АЗВ не восстанавливать, питание приборов безопасности по резервному каналу через МКС.
37;Срабатывание АЗВ SF11;Короткое замыкание в цепи источника питания G2;АЗВ не восстанавливать, питание систем ПСН по резервному каналу
38;Срабатывание АЗВ SF9;Короткое замыкание в цепи источника питания G3;АЗВ не восстанавливать, питание систем ПСН по резервному каналу
39;Срабатывание АЗВ SF13;Короткое замыкание в цепи источника питания G4;АЗВ не восстанавливать, питание систем МСУЛ по I каналу в кабине управления работает один монитор., питание УКТОЛ по резервному каналу через МКС
40;Срабатывание АЗВ SF14;Короткое замыкание в цепи источника питания G6;АЗВ не восстанавливать, питание систем МСУЛ по II каналу, в кабине управления работает один монитор.
41;Срабатывание АЗВ SF3;Короткое замыкание в цепи управления вспомогательным компрессором или компрессорным агрегатом.;"В кабине управления отключить тумблеры ""вспомогательный компрессор и ""компрессор"", восстановить АЗВ:
-если не сработает включить тумблер ""компрессор"", в случае срабатывания короткое замыкание во внутренней цепи агрегата. АЗВ не восстанавливать, дальнейшее следование на одном компрессоре.
-если АЗВ срабатывает после восстановления короткое замыкание в цепи электромагнитного клапана KP11 или реле KL11. В шкафу МПСУ и Д извлечь реле KL11. Дальнейшее управление компрессорами кнопкой принудительного включения компрессоров."
42;"Срабатывание АЗВ SF1 после включения тумблера ""токоприемник""";Короткое замыкание в цепи включения разъединителей и заземлителей, цепи питания клапана токоприемника.;"Отключить тумблер ""токоприемник"", восстановить АЗВ. В машинном отделении разъединители и заземлители изоляционной рукояткой установить в положение поднятия токоприемника, отсоединить разъемы от электропневматических вентилей разъединителей и заземлителей обеих секций. В кабине управления поочередно включить тумблеры ""токоприемник"". Если АЗВ не сработает, то короткое замыкание в цепи электропневматических вентилей разъединителей и заземлителей, дальнейшее следование на ручном управлении разъединителями и зазамлителями.
Если АЗВ сработает на включение какого-то тумблера ""токоприемник"" исключить использование этого тумблера, дальнейшее следование на токоприемниках с исправной схемой управления."
43;Срабатывание АЗВ SF1 после включения тумблера БВ.;Короткое замыкание в цепи включения БВ;"АЗВ на неисправной секции отключить, переключателем SA28 отключить двигатели секции, тумблер SA32 в положение ""прицепная"". Дальнейшее следование на исправных секциях."
44;Срабатывание АЗВ SF1 после постановки первой позиции.;Короткое замыкание в цепи управления жалюзи.;В высоковольтной камере принудительно открыть жалюзи с обеих сторон, за шкафом МПСУ и Д от клапана КР10 отсоединить разъем. Тумблер SA32 перевести на секцию с исправным клапаном КР10. Дальнейшее следование обычным порядком.
45;Срабатывание АЗВ SF1 после ступени торможения краном машиниста;Короткое замыкание в цепи датчика обрыва тормозной магистрали;На срабатывающей секции в шкафу УКТОЛ при выключенном SF1 отсоединить и заизолировать провод 320 в клеммой коробке датчика 418на главной части блока воздухораспределителя.
Неисправности пневматического оборудования;;;
46;Малая производительность компрессорных установок;сброс воздуха из главных резервуаров после остановки компрессора;по манометру компрессора убедиться в падении давления в магистрали компрессора до 0 кгс\см2, если не падает, засорение или перемерзание обратного клапана электровоза в открытом положении, отогреть и обстучать обратный клапан
47;Срабатывание предохранительного клапана компрессора;Неисправность пневматической сети компрессора;Отключить компрессор кнопкой аварийной остановки
48;Перегрев масла;"Неисправность термостатического клапана компрессора;
Низкий уровень масла в маслоотделителе;";Отключить компрессор кнопкой аварийной остановки
;;Воспламенение масла в винтовом модуле;Следы нагара на сепараторе компрессора и почернение масла в маслоотделителе, отключить компрессор кнопкой аварийной остановки.
49;При работе компрессорных установок срабатывание предохранительных клапанов на одной из секций;"Перемерзание обратного клапана.
Неисправность датчика давления питательной магистрали.";"Выключить компрессор нажатием кнопки аварийной остановки, дальнейшее следование осуществляется на одном компрессоре.
Сравнить давления воздуха по манометру в кабине управления, по мониторам в кабине управления и при работающих компрессорах на манометрах блоках управления компрессором. При низком показании давления (меньше чем показания манометра в кабине управления) или отсутствии показаний на мониторах перейти на ручное управления компрессорами."
;Срабатывание первого от компрессора предохранительного клапана;Перемерзание влагомаслотделителя под кузовом электровоза;Выключить компрессор нажатием кнопки аварийной остановки, дальнейшее следование осуществляется на одном компрессоре.
;Срабатывании второго от компрессора предохранительного клапана.;Перемерзание крана КН8 под кузовом электровоза.;При перекрытии крана КН8 на исправной секции наблюдается большое падение давления в питательной магистрали. На стоянке отогреть трубопровод и кран КН8.
50;Отсутствие или заниженное давление в магистрали цепей управления.;Засорение или западание питательного клапана редуктора.;Закрутить регулировочный винт редуктора цепей управления, если не поможет на стоянке перекрыть краны КН8 на обеих секциях, выпустить воздух из питательной магистрали и извлечь питательный клапан редуктора. Открыть краны КН8, перейти на управление компрессорам через кнопки принудительного пуска с поддержанием давления в главных резервуарах в пределах 0,70-0,75 МПа.
51;Разрыв межсекционных рукавов;Питательной магистрали;Перекрыть межсекционные концевые краны, работой компрессоров управлять кнопкой принудительного пуска с контролем давления питательной магистрали задней секции на ближайшей станции рукава заменить.
;;Тормозной магистрали;Использовать рукава питательной магистрали.
52;Повреждение питательной магистрали;Повреждение предохранительных клапанов, обратного клапана, главных резервуаров, влагомаслоотделителя.;Отключить компрессор неисправной секции кнопкой аварийной остановки на блоке управления компрессором, перекрыть кран КН8 под кузовом электровоза. Дальнейшее следование с работающим компрессором и главными резервуарами одной секции.
;;Повреждение питательной магистрали в кузове электровоза.;"Если повреждение произошло на головной секции, заказать вспомогательный локомотив. Если на задней секции, перевести секцию в холодное состояние, перекрыть концевые краны, перекрыть краны КН1, КН2, КН4, на блоке тормозного оборудования открыть кран КрРШ4, перекрыть краны к ЭПК, перенести управление на исправную секцию. На исправной секции переключателем SA28 отключить двигатели неисправной секции, тумблер SA32 поставить в положение ""головная"", Дальнейшее следование на исправных секциях."
53;Повреждение воздухопроводов цепей управления электровоза.;Повреждение резервуара для поднятия токоприемников РС6.;Не использовать кнопку вспомогательный компрессор.
;;Не использовать кнопку вспомогательный компрессор.;"Перекрыть кран КН7, переключателем SA28 отключить двигатели неисправной секции, тумблер SA32 поставить в положение ""головная"", Дальнейшее следование на исправных секциях."
;;Повреждение приводов аппаратов:;
;;Жалюзи;Перекрыть кран КН29, жалюзи открыть принудительно.
;;Токоприемники;Перекрыть кран КН28, в шкафу МПСУ и Д тумблером SA1 отключить токоприемник, дальнейшее следование на исправных токоприемниках.
;;Разъединитель;Перекрыть кран КН31, включение и выключение аппарата вручную.
;;Заземлитель;Перекрыть кран КН32, включение и выключение аппарата вручную.
54;Повреждение трубопроводов в шкафу УКТОЛ;Повреждение трубопровода от КН2 до БТО.;Перекрыть кран КН2, КН9, КН10 дальнейшее следование с отключенными тормозами секции.
;;Повреждение магистрали вспомогательного тормоза.;Перекрыть концевые краны магистрали вспомогательного тормоза между секциями. Если оставить управление электровозом на секции с неисправной магистралью цепей управления вспомогательным тормозом, перекрыть кран КН4 при дальнейшем следовании управление вспомогательным тормозом осуществлять поездным краном.
;;Разрыв воздухопровода тормозных цилиндров.;Выявить на какой тележке произошел разрыв и кранами КН9 или КН10 отключить тормозные цилиндры секции. Если разрыв произошел от блока тормозного оборудования до кранов КН9 или КН10 отключить реле давления тележки для чего перекрыть краны КрРШ1 и КрРШ5 для первой тележки, КрРШ2 и КрРШ6 для второй тележки.
Неисправности тормозного оборудования;;;
Внимание! При неисправности тормозного оборудования в первую очередь проверить открытое положение разобщительных кранов КН1, КН2, КН3, КН4.КН9 и КН10 - положение вдоль трубы. Проверить открытое положение кранов в шкафу УКТОЛ КрРШ1, 2, 3, 5, 6 и КрРФ - вертикально.;;;
Примечание: при снятии тормозных приборов в шкафу УКТОЛ необходимо разрядить тормозную магистраль, выключить устройство блокировки тормозов и перекрыть краны КН1, КН3, КН4.;;;
55;Нет отпуска тормозов локомотива, в кабине управления кран машиниста во 2-ом положении, кран вспомогательного тормоза в положении отпуска.;Включение устройства блокировки тормозов в задней секции электровоза.;В кабине управления падение давления в тормозной магистрали и в уравнительном резервуаре до 0,2 МПа, сброс воздуха через реле давления блока вспомогательного тормоза (БВТ). В шкафу УКТОЛ нерабочей секции отсоединить разъем от вентиля В1 и нажатием на грибок вентиля В2 отключить устройство блокировки тормозов.
;;Неисправность реле давления блока вспомогательного тормоза.;Перекрыть кран КН4 при дальнейшем следовании управление вспомогательным тормозом осуществлять поездным краном.
;;Срабатывание вентилей ЭПВН (срыва рекуперации).;"Наполнение тормозных цилиндров обеих секций до давления
0,13-0,18 МПа. На блоках тормозного оборудования обеих секций (БТО) отсоединить разъемы от вентилей ЭПВН, после отсоединения происходит выпуск воздуха через них из управляющей камеры реле давления БТО в атмосферу и отпуск тормозов локомотива."
Примечание: на торможение электровоза краном вспомогательного тормоза влияет реле давления БВТ той секции, где включена блокировка тормозов.;;;
56;Нет отпуска тормозов одной секции локомотива, в кабине управления кран машиниста во 2-ом положении, кран вспомогательного тормоза в положении отпуска.;Срабатывание устройства торможения при разрыве секций.;Наполнение тормозных цилиндров секции до давления 0,35-0,37 МПа. На блоке тормозного оборудования секции перекрыть кран КрРШ7, будет происходить выпуск воздуха через атмосферное отверстие крана, для полного отпуска использовать кнопку отпуска тормозов локомотива SA47 в кабине управления.
;;Неисправен БВР секции;Перекрыть кран КрРФ, выпустить воздух из запасного резервуара через отпускной клапан главной части, для полного отпуска использовать кнопку отпуска тормозов локомотива SA47 в кабине управления.
57;Нет отпуска тормозов одной тележки локомотива.;Неисправность реле давления БТО.;Под плитой БТО перекрыть соответствующий кран КН9 или КН10 от реле давления к тормозным цилиндрам тележки.
58;Самопроизвольное наполнение тормозных цилиндров секции.;Пропуск вентиля ЭПВН.;Давление в тормозных цилиндрах в пределах 0,13-0,18 МПа. На БТО перекрыть кран КрРШ3 и ослабить крепление вентиля ЭПВН. Помнить, что при срыве электрического торможения не будет наполнения тормозных цилиндров секции.
59;При сборе схемы электрического торможения наполнение тормозных цилиндров секции.;Пропуск манжеты от питательной магистрали электроблокировочного клапана КЭБ1.;Отсоединить разъем от вентиля клапана КЭБ1. При сборе схемы электрического торможения помнить о возможности наполнения тормозных цилиндров от приборов управления тормозами (не будет работать КЭБ1 на совместное применение электрических и пневматических тормозов).
60;При торможении краном вспомогательного тормоза нет наполнения тормозных цилиндров локомотива.;ВЦУ включено, устройство блокировки тормозов включено - неисправно реле давления БВТ.;Перекрыть кран КН4 при дальнейшем следовании управление вспомогательным тормозом осуществлять поездным краном.
;;Неисправность крана вспомогательного тормоза.;Проворот ручки крана на стакане: закрепить ручку или для торможения использовать гаечный ключ на 22.
61;При торможении краном вспомогательного тормоза или краном машиниста нет наполнения тормозных цилиндров одной тележки.;Неисправность реле давления БТО.;На БТО перекрыть краны КрРШ1 и КрРШ5 для реле давления первой тележки или КрРШ2 и КрРШ6 для реле давления второй тележки.
62;При торможении краном машиниста нет наполнения тормозных цилиндров какой-либо секции;Неисправность БВР или западание одного из переключательных клапанов БТО.;По датчику разрыва тормозной магистрали проверить срабатывание БВР на торможение. Если после ступени торможения лампа ТМ в кабине загорается и гаснет, то неисправен какой-то переключательный клапан БТО. Дальнейшее следование с контролем срабатывания тормозов секции. Если лампа ТМ загорается и не гаснет неисправен БВР. Отключить БВР краном КрРФ, выпустить воздух из запасного резервуара через отпускной клапан главной части. Контроль разрыва тормозной магистрали через сигнализатор исправной секции по монитору в кабине управления.
Примечание: при работе БЭПП при наличии питания на вентилях загорается светодиод.;;;
63;При постановке ключа ВЦУ в положение 1 не включается блокировка тормозов.;Обрыв в цепи питания или неисправность вентиля В1.;В шкафу УКТОЛ проверить поступление питания на блок управления БЭПП (при положениях 1 и 2 ключа ВЦУ горит четыре севтодиода) нажать на грибок вентиля В1 (принудительно включить устройство блокировки тормозов). Убедиться в поступлении питания на вентиля УКТОЛ в соответствии с положением ручки крана машиниста усл N 130.
;;Неисправность блокировки тормозов.;Вентиль В1 постоянно находится под питанием. Неисправно устройство блокировки тормозов (УБТ) заменить на УБТ снятое с БЭПП нерабочей кабины.
64;Непрерывная разрядка уравнительного резервуара и тормозной магистрали при 2-ом положении ручки крана машиниста.;Потеря питания вентилей В4 и В5 на БЭПП.;В шкафу УКТОЛ проверить наличие питания на вентилях В4 и В5 БЭПП, если светодиоды не горят - нарушение контакта в разъеме одной из кнопок экстренного торможения в кабине управления. Перейти на управление автоматическими тормозами от крана резервного управления (КРУ).
65;Занижение давления в уравнительном резервуаре при 2-ом положении ручки крана машиниста.;Обрыв питания в вентиле В4 или неисправность редуктора БЭПП.;В шкафу УТОЛ проверить наличие питания на вентиле В4, при отсутствии питания использовать вентиль с нерабочего БЭПП или перейти на управление КРУ.
66;При постановке ручки крана машиниста в 1 положение нет сверхзарядки уравнительного резервуара и тормозной магистрали.;Неисправность вентиля В3 или питательного клапана.;Использовать отпуск вторым положением ручки крана машиниста при наличии времени переставить вентиль с питательным клапаном с нерабочей плиты.
67;Завышение давления в тормозной магистрали при 2-ом положении ручки крана машиниста.;Неисправность редуктора БЭПП или пропуск питательного клапана.;Если после постановки ручки крана машиниста в 4-е положение завышение прекратилось, неисправен редуктор, если завышение продолжается пропуск питательного клапана. При неисправности редуктора использовать редуктор с нерабочей плиты, аналогично поступают питательным клапаном.
68;При завышении давления в уравнительном резервуаре нет завышения в тормозной магистрали.;Неисправность реле давления БЭПП.;Перейти на управление КРУ.
69;При ступени торможения нет разрядки тормозной магистрали.;Неисправность реле давления БЭПП.;Перейти на управление КРУ.
Примечание: если после постановки ручки крана машиниста в положение служебного торможения нет разрядки уравнительного резервуара в шкафу УКТОЛ кран переключения режимов (КПР) установлен в положение КРУ.;;;
;;;
