к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на электровозах ЭП20;;;
;;;
N;"Неисправность
(сообщение МПСУ)";Вероятная причина;Метод устранения
78;Система собственных нужд;Сработало тепловое реле KK16. Контактор KM16 МВБТР1 отключен.;"Срабатывание теплового реле КК16. Аварийное отключение контактора КМ16 включения МВБТР1
Отключение и блокирование режима электрического торможения на оси N 1
Нажать на клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
В случае трехкратного срабатывания управление контактором будет заблокировано.
Продолжить движение."
79;Система собственных нужд;Сработало тепловое реле KK17. Контактор KM17 МВБТР2 отключен.;"Срабатывание теплового реле КК17. Аварийное отключение контактора КМ17 включения МВБТР2
Отключение и блокирование режима электрического торможения на оси N 2
Нажать на клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
В случае трехкратного срабатывания управление контактором будет заблокировано, продолжить движение."
80;Система собственных нужд;Сработало тепловое реле KK18. Контактор KM18 МВБТР3 отключен.;"Срабатывание теплового реле КК18. Аварийное отключение контактора КМ18 включения МВБТР3
Отключение и блокирование режима электрического торможения на оси N 3
Нажать на клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
В случае трехкратного срабатывания управление контактором будет заблокировано.
Продолжить движение."
81;"Система собственных
нужд";"Сработало тепловое реле
KK19. Контактор KM19 МВБТР4 отключен.";"Срабатывание теплового реле КК19. Аварийное отключение контактора КМ19
включения МВБТР4
Отключение и блокирование режима электрического торможения на оси N 4
Нажать на клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
В случае трехкратного срабатывания управление контактором будет заблокировано.
Продолжить движение."
82;Система собственных нужд;Сработало тепловое реле KK20. Контактор KM20 МВБТР5 отключен;"Срабатывание теплового реле КК20. Аварийное отключение контактора КМ20 включения МВБТР5
Отключение и блокирование режима электрического торможения на оси N 5
Нажать на клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
В случае трехкратного срабатывания управление контактором будет заблокировано.
Продолжить движение."
83;Система собственных нужд;Сработало тепловое реле KK21. Контактор KM21 МВБТР6 отключен.;"Срабатывание теплового реле КК21. Аварийное отключение контактора КМ21 включения МВБТР1
Отключение и блокирование режима электрического торможения на оси N 6
Нажать на клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
В случае трехкратного срабатывания управление контактором будет заблокировано.
Продолжить движение."
84;Система собственных нужд;Сработало тепловое реле KK26. Контактор KM26 ЖН1 ТПр1 отключен.;"Срабатывание теплового реле КК26. Аварийное отключение контактора КМ26 включения ЖН1.
Возможно автоматическое отключение и блокирование канала N 1 ТПр1.
Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
На ближайшей остановке перезапустить СУ.
По кадру ВПР монитора СУ проверить состояние КМ"
85;Система собственных нужд;Сработало тепловое реле KK27. Контактор KM27 ЖН2 ТПр1 отключен.;"Срабатывание теплового реле КК27. Аварийное отключение контактора КМ27 включения ЖН2
Возможно автоматическое отключение и блокирования канала N 2 ТПр1
Нажать клавишу ""ВОССТАНОВЛЕНИЕ ЗАЩИТЫ""
На ближайшей остановке перезапустить СУ.
По кадру ВПР монитора СУ проверить состояние КМ"
86;Система собственных нужд;Сработало тепловое реле KK28. Контактор KM28 ЖН1 ТПр2 отключен;"Срабатывание теплового реле КК28. Аварийное отключение контактора КМ28 включения ЖН1
Возможно автоматическое отключение и блокирование канала N 1 ТПр2
Нажать клавишу ""ВОССТАНОВЛЕНИЕ ЗАЩИТЫ""
На ближайшей остановке перезапустить СУ.
По кадру ВПР монитора СУ проверить состояние КМ."
87;Система собственных нужд;"Сработало тепловое реле KK29. Контактор KM29 ЖН2 ТПр2
отключен.";"Срабатывание теплового реле КК29. Аварийное отключение контактора КМ29 включения ЖН2
- Возможно автоматическое отключение и
блокирование канала N 2 ТПр2 по срабатывании тепловой защиты ТПр (ось не работает в режиме Тяга и Электрическое торможение);
- Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
На ближайшей остановке перезапустить СУ.
По кадру ВПР монитора СУ проверить состояние КМ."
88;Система собственных нужд;Сработало тепловое реле KK30. Контактор KM30 ЖН1 ТПр3 отключен.;"Срабатывание теплового реле КК30. Аварийное отключение контактора КМ30 включения ЖН1
Возможно автоматическое отключение и блокирование канала N 1 ТПр3
Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
На ближайшей остановке перезапустить СУ.
По кадру ВПР монитора СУ проверить состояние КМ."
89;Система собственных нужд;Сработало тепловое реле KK31. Контактор KM31 ЖН2 ТПр3 отключен.;"Срабатывание теплового реле КК31. Аварийное отключение контактора КМ31 включение ЖН2
Возможно автоматическое отключение и блокирование канала N 2 ТПр3
Нажать клавишу ""ВОССТАНОВЛЕНИЕ ЗАЩИТЫ""
На ближайшей остановке перезапустить СУ.
По кадру ВПР монитора СУ проверить состояние КМ."
90;Система собственных нужд;Сработало тепловое реле KK32. Контактор KM32 МНТр1 отключен.;"Срабатывание теплового реле КК32. Аварийное отключение контактора КМ32 включение МНТр1
Автоматическое снижение мощности электровоза на 30 %
Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
На ближайшей остановке перезапустить СУ.
По кадру ВПР монитора СУ проверить состояние КМ."
91;Система собственных нужд;Сработало тепловое реле KK33. Контактор KM33 МНТр2 отключен.;"Срабатывание теплового реле КК33. Аварийное отключение контактора КМ33 включение МНТр2
Автоматическое снижение мощности электровоза на 30 %
Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
На ближайшей остановке перезапустить СУ.
По кадру ВПР монитора СУ проверить состояние КМ."
92;Система собственных нужд;Сработало тепловое реле KK35. Контактор KM35 МК1 отключен.;"Срабатывание теплового реле КК35. Аварийное отключение контактора КМ35 мотор-компрессора МК1
Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
КМ35 автоматически включится после
восстановления защиты теплового реле КК35
- При трехкратном срабатывании КК35 в течении 10 мин управление мотор-компрессором МК1 отключается и блокируется
- Продолжать движение на исправном МК2."
93;Система собственных нужд;Сработало тепловое реле KK36. Контактор KM36 МК2 отключен.;"Срабатывание теплового реле КК36. Аварийное отключение контактора КМ36 мотор-компрессора МК2
- Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
- КМ35 автоматически включится после восстановления защиты теплового реле КК32
- При трехкратном срабатывании КК35 в течении 10 мин управление мотор-компрессором МК2 отключается и блокируется
- Продолжать движение на исправном МК1."
94;Система собственных нужд;Сработало тепловое реле KK40. Контактор KM40 МВТД1 отключен.;"Срабатывание теплового реле КК40. Аварийное отключение контактора КМ40 МВТД1
Возможно автоматическое отключение и блокирования канала N 1 ТПр1 и канала N 1 ВПР - срабатывание тепловой защиты МВТД1
Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
КМ40 автоматически включится после восстановления защиты теплового реле КК40
В случае трехкратного срабатывания управление контактором будет заблокировано.
Продолжить движение."
95;Система собственных нужд;Сработало тепловое реле KK41. Контактор KM41 МВТД2 отключен.;"Срабатывание теплового реле КК41. Аварийное отключение контактора КМ41 МВТД2
Возможно автоматическое отключение и блокирование канала N 2 ТПр1 и канала N 1 ВПР - срабатывание тепловой защиты МВТД2.
Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
КМ41 автоматически включится после восстановления защиты теплового реле КК41
В случае трехкратного срабатывания управление контактором будет заблокировано.
Продолжить движение."
96;Система собственных нужд;Сработало тепловое реле KK42. Контактор KM42 МВТД3 отключен.;"Срабатывание теплового реле КК42. Аварийное отключение контактора КМ42 МВТД3.
Возможно автоматическое отключение и блокирование канала N 1 ТПр2 и канала N 2 ВПР - срабатывание тепловой защиты МВТД3.
Нажать клавишу ""ВОССТАНОВЛЕНИЕ ЗАЩИТЫ""
КМ42 автоматически включится после восстановления защиты теплового реле КК42
В случае трехкратного срабатывания управление контактором будет заблокировано.
Продолжить движение."
97;Система собственных нужд;Сработало тепловое реле KK43. Контактор KM43 МВТД4 отключен.;"Срабатывание теплового реле КК43. Аварийное отключение контактора КМ43 МВТД4.
Возможно автоматическое отключение и
блокирование канала N 2 ТПр2 и канала N 3 ВПР - срабатывание тепловой защиты МВТД4
Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
КМ43 автоматически включится после восстановления защиты теплового реле КК43
В случае трехкратного срабатывания управление контактором будет заблокировано.
Продолжить движение."
98;Система собственных нужд;Сработало тепловое реле KK44. Контактор KM44 МВТД5 отключен.;"Срабатывание теплового реле КК44. Аварийное отключение контактора КМ44 МВТД5.
Возможно автоматическое отключение и блокирование канала N 1 ТПр3 и канала N 4 ВПР - срабатывание тепловой защиты МВТД5.
Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
КМ44 автоматически включится после восстановления защиты теплового реле КК44
В случае трехкратного срабатывания управление контактором будет заблокировано.
Продолжить движение."
99;Система собственных нужд;Сработало тепловое реле KK45. Контактор KM45 МВТД6 отключен.;"Срабатывание теплового реле КК45. Аварийное отключение контактора КМ45 МВТД6
Возможно автоматическое отключение и блокирование канала N 2 ТПр3- срабатывание тепловой защиты МВТД6.
Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
КМ40 автоматически включится после восстановления защиты теплового реле КК45
В случае трехкратного срабатывания управление контактором будет заблокировано.
Продолжить движение."
100;Система собственных нужд;Сработало тепловое КК46. Контактор КМ46 МВБО1 отключен.;"Срабатывание теплового реле КК46. Аварийное отключение контактора КМ46 МВБО1.
- Возможно автоматическое отключение блокирование канала N 2 ВПР
- Возможно автоматическое отключение и блокирование канала N 1 и N 2 ТПр1 и канала N 1 ВПР - срабатывание тепловой защиты ТПр1.
- Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
- КМ46 автоматически включится после восстановления защиты теплового реле КК46
В случае трехкратного срабатывания управление контактором будет заблокировано.
Продолжить движение.
При блокировании управления контактором КМ46 разблокировать только канал 2 ВПР на стоянке, контактор не разблокировать.
Запрещается разблокировать каналы N 1 и N 2 ТПр1 и канал 1 ВПР при отключенном контакторе КМ46."
101;Система собственных нужд;Сработало тепловое реле КК47. Контактор КМ47 МВБО2 отключен.;"Срабатывание теплового реле КК47. Аварийное отключение контактора КМ47 МВБО2.
- Возможно автоматическое отключение блокирование канала N 4 ВПР.
- Возможно автоматическое отключение и блокирование канала N 1 и N 2 ТПр2 и канала N 2 и N 3 ВПР - срабатывание тепловой защиты ТПр2.
- Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
- КМ47 автоматически включится после восстановления защиты теплового реле КК47
В случае трехкратного срабатывания управление контактором будет заблокировано.
Продолжить движение.
При блокировании управления контактором КМ47 разблокировать только канал 4 ВПР на стоянке, контактор не разблокировать.
Запрещается разблокировать каналы N 1 и N 2 ТПр2 и канал 2 и 3 ВПР при отключенном контакторе КМ47."
102;Система собственных нужд;Сработало тепловое реле КК48. Контактор КМ48 МВБО3 отключен.;"Срабатывание теплового реле КК48. Аварийное отключение контактора КМ48 МВБО2.
- Возможно автоматическое отключение блокирование канала N 4 ВПР.
- Возможно автоматическое отключение и блокирование канала N 1 и N 2 ТПр3 - срабатывание тепловой защиты ТПр2.
- Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
- КМ48 автоматически включится после восстановления защиты теплового реле КК48
В случае трехкратного срабатывания управление контактором будет заблокировано.
Продолжить движение.
При блокировании управления контактором КМ47, контактор не разблокировать.
Запрещается разблокировать каналы N 1 и N 2 ТПр3 и канал 4 ВПР при отключенном контакторе КМ48."
103;Система собственных нужд;Сработало тепловое реле KK50. Контактор KM50 МВНК1 отключен.;"Срабатывание теплового реле КК50. Аварийное отключение контактора КМ50 МНК1
Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
КМ50 автоматически включится после восстановления защиты теплового реле КК50
В случае трехкратного срабатывания управление контактором будет заблокировано."
104;Система собственных нужд;Сработало тепловое реле KK51. Контактор KM51 МВНК2 отключен.;"Срабатывание теплового реле КК51. Аварийное отключение контактора КМ51 МНК2
Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
КМ50 автоматически включится после восстановления защиты теплового реле КК51
В случае трехкратного срабатывания управление контактором будет заблокировано.
Продолжить движение."
105;Ввод электровоза в работу;Отключение питание системы управления возможно, только при опущенных токоприемниках.;"Внимание! отключение питания СУЭ возможно только при опущенных токоприемниках
- опустить токоприемники
- отключить питание СУЭ"
106;Токоприемник не поднят;"Токоприемник не поднят.
Не выбрана ""рабочая"" кабина.";"Внимание! Поднятие токоприемников возможно только при выбранной СУЭ ""рабочей кабины""
- Обеспечить выбор рабочей кабины
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
107;Токоприемник не поднят;Токоприемник не поднят. Давление в ПМ < 0,6 МПа;"Внимание! Для поднятия токоприемников необходимо давление 0,6 МПа в ПМ
- Включить вспомогательный компрессор
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
108;Токоприемник не поднят;Токоприемник не поднят. Не заблокированы шкафы с высоковольтным оборудованием;"Внимание! Для поднятия токоприемников необходимо, чтобы все шкафы с высоковольтным оборудованием были заблокированы
- Заблокировать все шкафы с высоковольтным оборудованием
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
109;Токоприемник не поднят;Токоприемник не поднят. Пожар.;"Внимание! СПСТ блокирует поднятие токоприемника по причине определения пожара
- убедиться в отсутствии пожара
- отключить пульты СПСТ в обеих кабинах
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
110;Токоприемник не поднят;Токоприемник не поднят. Заземлен ГВ.;"Внимание! Заземлитель ГВ QF1 находится в положении заземлено
- для поднятия токоприемника перевести заземлитель ГВ QF1 в положении разземлено
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
111;Токоприемник не поднят;Токоприемник не поднят. Заземлен QS4.;"Внимание! Заземлитель цепей отопления поезда QS4 находится в положении заземлено
- для поднятия токоприемника перевести заземлитель цепей отопления поезда QS4 в положении разземлено
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
112;Токоприемник не поднят;Токоприемник не поднят. Заземлен QS10.;"Внимание! Заземлитель силовых цепей ТПр и ВПр QS10 находится в положении заземлено
- для поднятия токоприемника перевести заземлитель силовых цепей ТПр и ВПр QS10 в положении разземлено;
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
113;Токоприемник не поднят;Токоприемник не поднят. ГВ не выключен.;"Внимание! БВ QF2 находится во включенном состоянии
- для поднятия токоприемника перевести БВ QF2 в положение отключено
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
114;Токоприемник не поднят;Токоприемник не поднят. БВ не выключен.;"Внимание! ГВ QF1 находится во включенном состоянии
- для поднятия токоприемника перевести ГВ QF1 в положение отключено
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
115;Токоприемник не поднят;"Токоприемник не поднят. ПРТ не в положении ""переменный ток"".";"Внимание! ПРТ Q1 блокирует поднятие токоприемника
- для поднятия токоприемника перевести ПРТ Q1 в положение заземлен-переменный ток
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
116;Токоприемник не поднят;Токоприемник не поднят. Система управления тяговым приводом (MPU) блокирует токоприемник.;"Внимание! БУТП (MPU) блокирует поднятие токоприемников
-нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
- Проверить выполнение всех условий для поднятия токоприемников"
117;Токоприемник не поднят;Токоприемник не поднят. Система управления блокирует токоприемники.;"Внимание! СУЭ блокирует поднятие токоприемников
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
- Проверить выполнение всех условий для поднятия токоприемников"
118;Токоприемник не поднят;Токоприемник не поднят. Разъединитель QS1 разомкнут.;"Внимание! Разъединитель QS1 блокирует поднятие токоприемников XA1 (XA2)
- перевести разъединитель QS1 в замкнутое состояние;
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
119;Токоприемник не поднят;Токоприемник не поднят. Разъединитель QS2 разомкнут.;"Внимание! Разъединитель QS2 блокирует поднятие токоприемников XA3 (XA4)
- перевести разъединитель QS2 в замкнутое состояние;
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
120;Токоприемник не поднят;Токоприемник не поднят. Включен Q11.;"Внимание! Переключатель Q11 блокирует поднятие токоприемников
- перевести переключатель Q11 в положение питание от ТПр;
- нажать клавишу ВОССТАНОВЛЕНИЕ
ЗАЩИТЫ"
121;Токоприемник не поднят;Токоприемник не поднят. Автоматический выключатель SF124 выключен.;"Внимание! Автоматический выключатель SF124 блокирует поднятие токоприемников
- включить автоматический выключатель SF124
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
122;ИПЦУ U5;Низкое напряжение в цепях управления, менее 89 В.;"Контролировать напряжение АБ.
Проверить положение переключателя и автоматических выключателей на ИПЦУ.
При уменьшении напряжения до 82В остановиться, выключить систему управления и вызвать вспомогательный локомотив"
123;ИПЦУ U5;Необходимо остановить электровоз. Напряжение в цепях управления менее 86 В.;"Контролировать напряжение АБ.
Проверить положение переключателя и автоматических выключателей на ИПЦУ.
При уменьшении до 82 В остановиться, выключить систему управления и вызвать вспомогательный локомотив"
124;ИПЦУ U5;Автоматическое выключение электровоза. Напряжение в цепях управления менее 82 В.;Остановиться, выключить систему управления и вызвать вспомогательный локомотив
125;ГВ и БВ;ГВ\БВ не включен. Заземлен QS4.;"Внимание! Включение ГВ\БВ возможно только при положении заземлителя QS4 ""разземлено""
- Перевести заземлитель QS4 в положение разземлено;
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
126;ГВ и БВ;ГВ\БВ не включен. Заземлен QS10.;"Внимание! Включение ГВ\БВ возможно только при положении заземлителя QS10 ""разземлено""
- перевести заземлитель QS10 в положение разземлено
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
127;ГВ и БВ;ГВ\БВ не включен. Заземлен ГВ.;"Внимание! Заземлитель ГВ QF1 находится в положении заземлено
- для включение ГВ\БВ перевести заземлитель ГВ QF1 в положении разземлено
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
128;ГВ и БВ;ГВ\БВ не включен. Пожар.;"Внимание! СПСТ блокирует включение ГВ\БВ
по причине определения пожара
- убедиться в отсутствии пожара
- отключить пульты СПСТ в обеих кабинах
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
129;ГВ и БВ;"ГВ\БВ не включен. Задание на тягу и
торможение не равно ""0"".";"Внимание! ГВ\БВ не включен по причине наличия задания на тягу\торможение
- нажать клавишу ""СБРОС"" на контроллере
машиниста
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
130;ГВ не включен;ГВ не включен. Замкнут БВ.;"Внимание! ГВ не включен по причине нахождения БВ в замкнутом состоянии
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
131;ГВ не включен;ГВ не включен. Напряжение в контактной сети в недопустимых пределах.;"Внимание! ГВ не включен по причине нахождения напряжения в контактной сети в недопустимом диапазоне
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
- дождаться появления напряжения в КС в допустимом диапазоне"
132;ГВ не включен;"ГВ не включен. ПРТ не в положении ""переменный ток"".";"Внимание! ГВ не включен по причине нахождения ПРТ в положении не соответствующему переменному роду тока
Проверить состояние АЗВ SF126 ""ПРТ и разъединители""
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
133;ГВ не включен;ГВ не включен. КЗ в силовой цепи и/или цепи отопления.;"Внимание! ГВ не включен по причине определения К.З.
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
134;ГВ заблокирован;ГВ отключен и заблокирован системой управления тяговым приводом (MPU).;"Аварийное блокирование ГВ QF1 системой управления тяговым приводом MPU.
Авария в силовых цепях переменного тока.
- Разблокировать управление ГВ QF1: Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
- В кадре диагностики ""Силовая схема"" определить участок неисправности.
- Включить ГВ QF1, продолжить движение
- В случае повторного аварийного отключения ГВ QF1 в течение 30 мин. ГВ QF1 блокируется без возможности повторного включения
- Заказать вспомогательный локомотив."
135;ГВ не включен;ГВ не включен. Кабина не определена.;"Внимание! Включение ГВ возможно только при выбранной СУЭ ""рабочей кабины""
- Обеспечить выбор рабочей кабины
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
136;БВ не включен;БВ не включен. Замкнут ГВ.;"Внимание! БВ не включен по причине нахождения ГВ в замкнутом состоянии
-нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
- разомкнуть ГВ."
137;БВ не включен;БВ не включен. Напряжение в контактной сети в недопустимых пределах.;"Внимание! БВ не включен по причине нахождения напряжения в контактной сети в недопустимом диапазоне
- дождаться появления напряжения в КС в допустимом диапазоне
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
138;БВ не включен;"БВ не включен. ПРТ не в положении ""постоянный ток"".";"Внимание! БВ не включен по причине нахождения ПРТ в положении не соответствующему постоянному роду тока
- проверить состояние АЗВ SF126 ""ПРТ и разъединители""
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
139;БВ не включен;БВ не включен. КЗ в силовой цепи и/или в цепи отопления.;
140;БВ заблокирован;БВ отключен и заблокирован системой управления тяговым приводом (MPU).;"- определить причину блокирования БВ
- в кадре техобслуживания разблокировать БВ"
141;БВ не включен;БВ не включен. Кабина не определена.;"Внимание! Включение БВ возможно только при выбранной СУЭ ""рабочей кабины"":
- обеспечить выбор рабочей кабины
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
142;СТК;Автоматическое снижение мощности электровоза на 15%. Перегрев ТД1 -ТД6 более 160 °C.;"Внимание! Перегрев статорной обмотки ТД М1 - ТД М6 близок к предельно допустимому, автоматическое снижение мощности электровоза на 15%
Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
143;Длительный отстой;Режим длительного отстоя в рабочем состоянии не активирован.;"Внимание! Проверить выполнение следующих условий:
- Активация экстренного торможения контроллером крана машиниста SM7(SM8). Необходимо перевести рукоятку контроллера крана машиниста SM7(SM8) в VI положение.
- Активация прямодействующего тормоза. Необходимо перевести рукоятку контроллера крана вспомогательного тормоза SM7(SM8) в IV положение.
- Активирован стояночный тормоз.
- Функция запрета тактирования ТПр1-ТПр2 при несанкционированной тяге работоспособна.
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
144;Тяга не задана;Тяга не задана. Направление движения не задано;"Внимание! Тяга не задана. Направление движения не задано.
- задать направление движения
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
- задать тягу"
145;Тяга не задана;Тяга не задана. Переключатель ЭПК 151Д выключен.;"Внимание! Тяга не задана. Переключатель ЭПК 151Д выключен.
- перевести переключатель ЭПК 151Д в положение ВКЛ
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
- задать тягу"
146;Тяга не задана;Тяга не задана. Нет давления на ЭПВН (ЭПК).;"Проверить положение крана КрPШ (БИ2).
В противном случае заказать вспомогательный локомотив."
147;Тяга не задана;"Тяга не задана. Давление в тормозной магистрали
< 4,5 кгс\см2.";"Внимание! Тяга не задана. Давление в тормозной магистрали < 4,5 кгс\см2.
- после ЭТ давление в ТМ должно быть 4,5 кгс\см2
- произвести зарядку ТМ
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
- задать тягу"
148;Тяга не задана;"Внимание ! Задана тяга при
давлении в тормозных цилиндрах > 0.";"Внимание! Тяга задана. Давление в ТЦ > 1,2 кгс\см2.
- произвести отпуск тормозов
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
- задать тягу"
149;Тяга и электроторможение;Выданная сила торможения недостаточна для поддержания заданной скорости.;"Внимание! Возможно превышение заданной скорости
- применить дополнительно ЭПТ (ПТ)
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
150;Токоприемник не поднят;Токоприемник не поднят. Не заблокирован шкаф с высоковольтным оборудованием N 1;"Внимание! Не заблокирован шкаф с высоковольтным оборудованием N 1.
Для поднятия токоприемника должен быть закрыть щит шкафа с высоковольтным оборудованием N 1
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
151;Токоприемник не поднят;Токоприемник не поднят. Не заблокирован шкаф с высоковольтным оборудованием N 2.;"Внимание! Не заблокирован шкаф с высоковольтным оборудованием N 2.
Для поднятия токоприемника должен быть закрыт щит шкафа с высоковольтным оборудованием N 2
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
152;Токоприемник не поднят;Токоприемник не поднят. Не заблокирован шкаф с высоковольтным оборудованием N 3.;"Внимание! Не заблокирован шкаф с высоковольтным оборудованием N 3.
Для поднятия токоприемника должен быть закрыт щит шкафа с высоковольтным оборудованием N 3
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
153;Токоприемник не поднят;Токоприемник не поднят. Не заблокирован люк лаза на крышу.;"Внимание! Не заблокирован люк лаза на крышу.
Для поднятия токоприемника люк должен быть закрыт
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
154;Токоприемник не поднят;Токоприемник не поднят. Не заблокированы щиты ИПЦУ.;"Внимание! Не заблокированы щиты ИПЦУ.
Для поднятия токоприемника должны быть закрыты и заблокированы щиты ИПЦУ
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
155;Энергоснабжение вагонов;Ошибка при включении/выключении отопления поезда.;"Контактор КМ1\КМ2 не включен
- Проверить, состояние автоматического выключателя SF113;
- Если автоматический выключатель SF113 разомкнут, перевести во включенное состояние;
- Проверить, состояние автоматического выключателя SF118;
- Если автоматический выключатель SF118 разомкнут, перевести во включенное состояние;
- Если после вышеописанных действий состояние контактора КМ1\КМ2 на кадре диагностика ""Цепи отопления"" не изменилось, то продолжить движение электровоза с отключенными цепями отопления
Нажать на клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
156;Юз и боксование;Ошибка при включении/выключении БУГС.;"Контактор КМ62 не включен
- Проверить состояние автоматического выключателя SF72;
- Если автоматический выключатель SF72 разомкнут, перевести во включенное состояние;
- Если автоматический выключатель SF72
замкнут, то продолжить движение без использования БУГС
- При наличии связи разомкнуть SF72
Нажать на клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
157;ГВ не включен;ГВ не включен. Не переменный род тока.;"Внимание! ГВ не включен, род тока в контактной сети не определен
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
158;ГВ не включен;ГВ не включен. Ни один пантограф переменного тока не поднят.;"Внимание! ГВ не включен, по причине не поднятия токоприемника переменного тока
- дождаться поднятия токоприемника переменного тока
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
159;БВ не включен;БВ не включен. Не постоянный род тока.;"Внимание! БВ не включен, род тока в контактной сети не определен
- нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
