к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на электровозах серии 2ЭС7;;;
;;;
"N
п/п";"Неисправность
(Сообщение МПСУиД)";Вероятная причина;Метод устранения
114;Не включается К1 (ВО-ТЭД 1, 2);Задание момента в ТП1 устанавливается равным 0 если при выданной команде на включение контактора К1 в течение 5 секунд нет сигнала с его блокировки (провод 457).;Индикация работы ВО ТЭД на мониторе производится красным цветом, если в течение 2 секунд нет сигнала о включении К1. Следовать до основного депо на работающих тяговых преобразователях.
115;Не включается К2 (ВО-ТЭД 3, 4);Задание момента в ТП2 устанавливается равным 0 если при выданной команде на включение контактора К2 в течение 5 секунд нет сигнала с его блокировки (провод 458).;Индикация работы ВО ТЭД на мониторе производится красным цветом, если в течение 2 секунд нет сигнала о включении К2. Следовать до основного депо на работающих тяговых преобразователях.
116;Не включается К14;Если при выданной команде на включение К14 в течение 2 секунд отсутствует сигнал о включении К14 (провод 470);Включается контактор К15. Следовать до ПТО.
117;Не включается К15;Если при выданной команде на включение К15 в течение 2 секунд отсутствует сигнал о включении К15 (провод 471);Включается контактор К14. Следовать до ПТО.
118;Не включается В-Надд;Отсутствует сигнал о включении К14 и К15;Следовать до ПТО.
119;Выключен обогрев окон по требованию БПСН;Требование БПСН уменьшить нагрузку;Следовать до основного депо, возможен запрет на включение компрессора.
120;Не включается внешнее питание - не закрыты ШВА;ТП подключается к источнику внешнего питания, если отключены любые три ТЭД и получены сигналы о закрытых ШВА и люках (провод 334);Проверить закрытие ШВА
Компрессор;;;
121;МК выключен - нет готовности БУ-МК;"Нет сигнала ""Готовность МК"" от блока управления МК.";"Проверить температуру масла в МК, состояние кнопки ""Авария"" на блоке управления МК.
Если причина не установлена следовать до основного депо компрессорами других секций."
122;МК выключен - блокировка обратного вращения МК;"При первом, после включения ВУ пуске, в интервале времени от 1 до 10 секунд от включения К3 сигнал ""Готовность МК"" (провод 324) пропадает более чем на 0,2 секунды.";"Блокировка включения компрессора снимается при помощи клавиатуры монитора через экран ""Диагностика""."
123;МК выключен - не включился К3;Нет сигнала от БВС о включении К3 (провод 459);"Выключить и включить тумблер ""Компрессор"" в кабине управления. Следовать до ПТО."
124;Блокирован МК по неготовности БУ-МК;"В течение 15 секунд от БВС нет сигнала ""Готовность МК""";"Блокировка включения компрессора снимается при помощи клавиатуры монитора через экран ""Диагностика""."
125;Блокирован МК по не включению К3;В течение 2 секунд нет сигнала от БВС о включении К3 (провод 459);"Блокировка включения компрессора снимается при помощи клавиатуры монитора через экран ""Диагностика""."
Управление тягой и электрическим торможением;;;
126;"ТЭД выключены - нет команд ""Вперед"" или ""Назад""";Перед включением ТЭД не задано направление движения;"Установить переключатель направления движения в положение ""Вперед"" или ""Назад"""
127;"Выключены ТЭД кнопкой ""Выбег""";"Наличие сигнала от джойстика ""Тяга+"" при нажатии кнопки.";"Установить джойстик ""Тяга+"" в положение ""0"""
128;Не включаются ТЭД - не включен ГВ;Задание силы тяги при выключенном ГВ.;Привести электровоз в рабочее состояние
129;ТЭД выключены - недопустимое давление в ТМ, ТЦ;Разбирается схема тяги или электрического торможения по величине давления в тормозной магистрали и тормозных цилиндрах.;"Задание силы тяги производится при величине давления в ТМ более 0,45МПа.
Задание тормозной силы производится при величине давления в ТМ более 0,28МПа и в ТЦ менее 0,15МПа.
Схема тяги и электрического торможения разбираются при давлении в ТМ менее 0,27МПа.
Схема электрического торможения разбирается при давлении в ТЦ более 0,15МПа."
130;"ТЭД выключены - нет сигнала цепи ""Разрешение Тяги""";Нет сигнала на БВС по проводу 214.;"Проверь включение автоматического выключателя SF8 (""Выбег""), ключа ВЦУ в положении ""1"", включение ЭПК, нет срабатывания устройства контроля ТМ (KL10)."
131;ТЭД выключены - нет разрешения включения ТЭД от САУТ.;"В режиме ""Тяга"" от системы безопасности (САУТ) в кодовой линии присутствует сигнал ""Выключение тяги"".";Проверить работу САУТ.
132;ТЭД выключены - нет готовности к работе от внешнего источника питания;Нет признаков подключения внешнего питания от выбранного ТП;Проверить подключение внешнего питания.
133;Не включаются ТЭД - джойстик силы заблокирован;"Джойстик силы не возвращался в положение ""0""";"Перевести джойстик силы в положение ""0"" и повторить задание силы"
134;Не задается скорость - заблокирован джойстик скорости;"Джойстик скорости не возвращался в положение ""0""";"Перевести джойстик скорости в положение ""0"" и повторить задание силы"
135;"Джойстик силы заблокирован, задание ведется кнопками ""Тяга+/-""";"Величина силы задана кнопкой ""Тяга+""";"Установить заданное значение силы ""0"" и повторить задание силы джойстиком."
136;"Кнопки ""Тяга+/-"" заблокированы, задание ведется от джойстика силы";"Величина силы задана джойстиком ""Тяга""";"Установить заданное значение силы ""0"" и повторить задание силы кнопками."
137;"Заблокирован джойстик скорости, задание ведется кнопками ""Тяга+/-""";"Величина силы задана кнопкой ""Тяга+""";"Установить заданное значение силы ""0"" и повторить задание скорости джойстиком."
138;Выключены ТЭД - сильное боксование/юз;"В режиме ""Тяга"" есть сигнал сильного боксования или юза, при включенной ПСЗ;";Повторить задание силы.
139;"Не задается режим ""Ввод в депо"" - не опущен ТКП";Поднят токоприемник;"Разрешение ""Ввод в депо"", ""Обточка"", ""Холодный отстой"" устанавливается, если:
- есть признак выключения ГВ;
- нет команд на подъем токоприемников."
140;"Не задается режим ""Ввод в депо"" - не выключен ГВ";Включен ГВ;
141;"Переключатель ""Эксплуатация"" не соответствует положению ""Нормальная эксплуатация""";"Не установлено требование ""Нормальная эксплуатация"".";"Установить переключатель в положение ""Нормальная эксплуатация"". Повторить запуск электровоза."
142;Не включаются ТЭД - не закрыты ВВК;Опущен токоприемник.;Проверить состояние блокировок дверей, люка выхода на крышу и ключевых запоров. Повторить запуск электровоза.
143;Не включаются ТЭД - заторможен стояночный тормоз;Имеется сигнал о заторможенном ручном тормозе от любой секции.;На 5 секунд устанавливается запрет задания силы тяги. Проверить состояние ручных тормозов на всех секциях.
144;Ограничение по току 580А;При превышении тока любой секции 250А или тока через один токоприемник 580 А производится снижение величины силы тяги;Обеспечить задание силы тяги в соответствии с током потребления.
145;Ограничение максимальной силы тяги/торможения электровоза;Ограничение максимальной силы тяги/торможения по скорости движения;Продолжить движение.
146;"Замещение электрического торможения, запрет режима ""Автоведение""";В течение более 5 секунд не реализуется заданная тормозная сила;"Выйти из режима ""Автоведение"" в режим ""Советчик"", отменить замещение электрического торможения."
Тяговые двигатели ТЭД 1-2;;;
147;"Не включаются ТЭД1-2 - от ТП-1 нет сигнала ""Действительное вращающееся поле""";Нет подтверждения от ТП-1 о подключении к источнику питания.;"Проверить подключение питания для режима ""Ввод в депо"""
148;"Не включаются ТЭД1-2 - от ТП-1, нет сигнала ""Ход""";"От ТП-1 нет подтверждения сигнала ""Ход""";"Для ТП-1 не разрешается задание по моменту силы, ТЭД1-2 отключаются.
Продолжать движение остальными ТЭД и следовать до основного депо."
149;"Не включаются ТЭД1-2 - от ТП-1, нет сигнала ""ЭЛТ""";"От ТП-1 нет подтверждения сигнала ""Торможение""";"Для ТП-1 не разрешается задание по моменту силы, ТЭД1-2 отключаются.
Продолжать электрическое торможение остальными ТЭД и следовать до основного депо."
150;Заданная сила ТЭД1 (или ТЭД2) не реализуется;Ограничения по моменту силы для ТЭД1 (или ТЭД2);Продолжать движение.
151;"Не включаются ТЭД1-2 - от ТП-1 нет сигнала ""Назад""";"От ТП-1 нет подтверждения сигнала ""Назад""";"Для ТП-1 не разрешается задание по моменту силы, ТЭД1-2 отключаются.
Продолжать движение остальными ТЭД и следовать до основного депо."
152;"Не включаются ТЭД1-2 - от ТП-1 нет сигнала ""Вперед""";"От ТП-1 нет подтверждения сигнала ""Вперед""";"Для ТП-1 не разрешается задание по моменту силы, ТЭД1-2 отключаются.
Продолжать движение остальными ТЭД и следовать до основного депо."
153;"Не включается режим ""Ввод в депо"" - от ТП-1 нет сигнала ""Готов к режиму ""Ввод в депо""""";"От ТП-1 нет сигнала ""Готов к режиму ""Ввод в депо"""", не будет задания по силе.";"Для режима ""Ввод в депо"" использовать ТП-2."
154;"Не включается режим ""Ввод в депо"" - от ТП-1 нет сигнала ""Включен режим Ввод в депо""";"От ТП-1 нет сигнала ""Включен режим Ввод в депо""";"Для режима ""Ввод в депо"" использовать ТП-2."
Тяговые двигатели ТЭД 3-4;;;
155;"Не включаются ТЭД3-4- от ТП-2 нет сигнала ""Действительное вращающееся поле""";Нет подтверждения от ТП-2 о подключении к источнику питания.;"Проверить подключение питания для режима ""Ввод в депо"""
156;"Не включаются ТЭД3-4- от ТП-2, нет сигнала ""Ход""";"От ТП-2 нет подтверждения сигнала ""Ход""";"Для ТП-2 не разрешается задание по моменту силы, ТЭД3-4 отключаются.
Продолжать движение остальными ТЭД и следовать до основного депо."
157;"Не включаются ТЭД3-4- от ТП-2, нет сигнала ""ЭЛТ""";"От ТП-2 нет подтверждения сигнала ""Торможение""";"Для ТП-2 не разрешается задание по моменту силы, ТЭД3-4 отключаются.
Продолжать электрическое торможение остальными ТЭД и следовать до основного депо."
158;Заданная сила ТЭД3 (или ТЭД4) не реализуется;Ограничения по моменту силы для ТЭД3 (или ТЭД4);Продолжать движение.
159;"Не включаются ТЭД3-4- от ТП-2 нет сигнала ""Назад""";"От ТП-2 нет подтверждения сигнала ""Назад""";"Для ТП-2 не разрешается задание по моменту силы, ТЭД3-4 отключаются.
Продолжать движение остальными ТЭД и следовать до основного депо."
160;"Не включаются ТЭД3-4- от ТП-2 нет сигнала ""Вперед""";"От ТП-2 нет подтверждения сигнала ""Вперед""";"Для ТП-2 не разрешается задание по моменту силы, ТЭД3-4 отключаются.
Продолжать движение остальными ТЭД и следовать до основного депо."
161;"Не включается режим ""Ввод в депо"" - от ТП-2 нет сигнала ""Готов к режиму ""Ввод в депо""""";"От ТП-2 нет сигнала ""Готов к режиму ""Ввод в депо"""", не будет задания по силе.";"Для режима ""Ввод в депо"" использовать ТП-1."
162;"Не включается режим ""Ввод в депо"" - от ТП-2 нет сигнала ""Включен режим Ввод в депо""";"От ТП-2 нет сигнала ""Включен режим Ввод в депо""";"Для режима ""Ввод в депо"" использовать ТП-1."
МПСУиД;;;
163;Нет связи по линии 1;По линии 1 в течение секунды нет запросов от всех каналов БЦВ;Ограничений по управлению электровозом нет. Причины сбоя устанавливаются при проведении ТО-2
164;Нет связи по линии 2;По линии 2 в течение секунды нет запросов от всех каналов БЦВ;Ограничений по управлению электровозом нет. Причины сбоя устанавливаются при проведении ТО-2
165;Нет связи по обеим линиям связи;В течение секунды нет запросов от всех каналов БЦВ по обеим линиям связи;Произвести перезагрузку МПСУиД
166;По одной линии нет связи с джойстиком силы;В течение 10 секунд нет ответов на запросы от БЦВ по линии 1 или 2 от джойстика силы.;Ограничений по управлению электровозом нет. Причины сбоя устанавливаются при проведении ТО-2.
167;Нет связи с джойстиком силы;В течение 10 секунд нет ответов на запросы от БЦВ по линиям 1 и 2 от джойстика силы, нет признака бустерной секции;"Задание силы производить с помощью кнопок ""Тяга+"" и ""Тяга-""."
168;Нет связи с одним из каналов джойстика силы;В течение двух секунд нет ответов на запросы от БЦВ по одному из каналов джойстика силы;Ограничений по управлению электровозом нет. Причины сбоя устанавливаются при проведении ТО-2.
169;По одной линии нет связи с БСП;В течение 10 секунд нет ответов на запросы от БЦВ по линии 1 или 2 от БСП;Ограничений по управлению электровозом нет. Причины сбоя устанавливаются при проведении ТО-2.
170;Нет связи с БСП;В течение 10 секунд нет ответов на запросы от БЦВ по линиям 1 и 2 от БСП, нет признака бустерной секции;Нет сигналов от органов управления электровозом. По монитору убедиться во включенном положении ВЦУ. Следовать до ПТО.
171;Нет связи с одним каналом БСП;В течение двух секунд нет ответов на запросы от БЦВ по одному из каналов БСП;Ограничений по управлению электровозом нет. Причины сбоя устанавливаются при проведении ТО-2.
172;По одной линии нет связи с БУК 1;В течение 10 секунд нет ответов на запросы от БЦВ по линии 1 или 2 от БУК 1;Ограничений по управлению электровозом нет. Причины сбоя устанавливаются при проведении ТО-2.
173;Нет связи с БУК 1;В течение 10 секунд нет ответов на запросы от БЦВ по линиям 1 и 2 от БУК 1;Следовать до ПТО на преобразователях одной секции.
174;По одной линии нет связи с БУК 2;В течение 10 секунд нет ответов на запросы от БЦВ по линии 1 или 2 от БУК 2;Ограничений по управлению электровозом нет. Причины сбоя устанавливаются при проведении ТО-2.
175;Нет связи с БУК 2;В течение 10 секунд нет ответов на запросы от БЦВ по линиям 1 и 2 от БУК 2 (разрешение тяги для ТП1, ТП2);Следовать до ПТО на преобразователях одной секции.
176;По одной линии нет связи с БУК 4;В течение 10 секунд нет ответов на запросы от БЦВ по линии 1 или 2 от БУК 4;Ограничений по управлению электровозом нет. Причины сбоя устанавливаются при проведении ТО-2.
177;Нет связи с БУК 4;В течение 10 секунд нет ответов на запросы от БЦВ по линиям 1 и 2 от БУК 4 (не включится ГВ);Следовать до ПТО на преобразователях одной секции.
178;По одной линии нет связи с БУК 7;В течение 10 секунд нет ответов на запросы от БЦВ по линии 1 или 2 от БУК 7;Ограничений по управлению электровозом нет. Причины сбоя устанавливаются при проведении ТО-2.
179;Нет связи с БУК 7;В течение 10 секунд нет ответов на запросы от БЦВ по линиям 1 и 2 от БУК 7 (цепи QS1, QS3, QS4 и токоприемника);Следовать до ПТО на преобразователях одной секции. Для питания высоковольтных цепей использовать токоприемник исправной секции.
180;По одной линии нет связи с БУК 8;В течение 10 секунд нет ответов на запросы от БЦВ по линии 1 или 2 от БУК 8;Ограничений по управлению электровозом нет. Причины сбоя устанавливаются при проведении ТО-2.
181;Нет связи с БУК 8;В течение 10 секунд нет ответов на запросы от БЦВ по линиям 1 и 2 от БУК 8;Следовать до ПТО на преобразователях одной секции.
182;По одной линии нет связи с БУК 11;В течение 10 секунд нет ответов на запросы от БЦВ по линии 1 или 2 от БУК 11;Ограничений по управлению электровозом нет. Причины сбоя устанавливаются при проведении ТО-2.
183;Нет связи с БУК 11;В течение 10 секунд нет ответов на запросы от БЦВ по линиям 1 и 2 от БУК 11;Следовать до ПТО на преобразователях одной секции.
184;По одной линии нет связи с БУК 13;В течение 10 секунд нет ответов на запросы от БЦВ по линии 1 или 2 от БУК 11;Ограничений по управлению электровозом нет. Причины сбоя устанавливаются при проведении ТО-2.
185;Нет связи с БУК 13;В течение 10 секунд нет ответов на запросы от БЦВ по линиям 1 и 2 от БУК 13;Следовать до ПТО на преобразователях одной секции. Контроль за состоянием аккумуляторной батареи, не включится контактор резервирования.
186;По одной линии нет связи с БС-ДД;В течение 10 секунд нет ответов на запросы от БЦВ по линии 1 или 2 от БС-ДД;Ограничений по управлению электровозом нет. Причины сбоя устанавливаются при проведении ТО-2.
187;Нет связи с БС-ДД;В течение 10 секунд нет ответов на запросы от БЦВ по линиям 1 и 2 от БС-ДД;На секции, где нет связи, устанавливается запрет на подъем токоприемника. Включение компрессоров кнопкой принудительного включения. На неисправной секции нет значений давления воздуха в магистралях. Нет величины сопротивления изоляции цепей управления. Следовать до ПТО.
188;По одной линии нет связи с БЗС;В течение 10 секунд нет ответов на запросы от БЦВ по линии 1 или 2 от БЗС;Ограничений по управлению электровозом нет. Причины сбоя устанавливаются при проведении ТО-2.
189;Нет связи с БЗС;В течение 10 секунд нет ответов на запросы от БЦВ по линиям 1 и 2 от БЗС;Отключить БЗС, защита от скольжения через преобразователи.
190;По одной линии нет связи с БС-СИ;В течение 10 секунд нет ответов на запросы от БЦВ по линии 1 или 2 от БС-СИ;Ограничений по управлению электровозом нет. Причины сбоя устанавливаются при проведении ТО-2.
191;Нет связи с БС-СИ;В течение 10 секунд нет ответов на запросы от БЦВ по линиям 1 и 2 от БС-СИ;Следовать до ПТО на преобразователях одной секции. Используется токоприемник исправной секции. Контроль за состоянием аккумуляторной батареи на секции с неисправным БС-СИ.
192;По одной линии нет связи с БВС-1;В течение 10 секунд нет ответов на запросы от БЦВ по линии 1 или 2 от БВС-1;Ограничений по управлению электровозом нет. Причины сбоя устанавливаются при проведении ТО-2.
193;Нет связи с БВС-1;В течение 10 секунд нет ответов на запросы от БЦВ по линиям 1 и 2 от БВС-1;На секции с отсутствием связи отключатся преобразователи. Следовать до ПТО на преобразователях одной секции.
194;По одной линии нет связи с БВС-2;В течение 10 секунд нет ответов на запросы от БЦВ по линии 1 или 2 от БВС-2;Ограничений по управлению электровозом нет. Причины сбоя устанавливаются при проведении ТО-2.
195;Нет связи с БВС-2;В течение 10 секунд нет ответов на запросы от БЦВ по линиям 1 и 2 от БВС-2;Нет контроля открытия жалюзи УО-2, отключить ТП-2, Следовать до ПТО на исправных преобразователях
196;По одной линии нет связи с БВС-4;В течение 10 секунд нет ответов на запросы от БЦВ по линии 1 или 2 от БВС-4;Ограничений по управлению электровозом нет. Причины сбоя устанавливаются при проведении ТО-2.
197;Нет связи с БВС-4;В течение 10 секунд нет ответов на запросы от БЦВ по линиям 1 и 2 от БВС-4;Нет контроля включения контакторов вспомогательных машин. Следовать до ПТО на преобразователях одной секции.
198;По одной линии нет связи с БВС-7;В течение 10 секунд нет ответов на запросы от БЦВ по линии 1 или 2 от БВС-7;Ограничений по управлению электровозом нет. Причины сбоя устанавливаются при проведении ТО-2.
199;Нет связи с БВС-7;В течение 10 секунд нет ответов на запросы от БЦВ по линиям 1 и 2 от БВС-7;Нет контроля открытия жалюзи УО-1, отключить ТП-1, Следовать до ПТО на исправных преобразователях
200;Неисправен один из каналов БЦВ;В течение секунды нет запросов от одного из каналов БЦВ;Ограничений по управлению электровозом нет. Причины сбоя устанавливаются при проведении ТО-2
201;По одной линии нет связи с БУЭ;В течение 10 секунд нет ответов на запросы от БЦВ по линии 1 или 2 от БУЭ;Ограничений по управлению электровозом нет. Причины сбоя устанавливаются при проведении ТО-2.
202;Нет связи с БУЭ;В течение 10 секунд нет ответов на запросы от БЦВ по линиям 1 и 2 от БУЭ;Следовать до ПТО на преобразователях одной секции. Производится отключение ГВ через БУЭ
203;Совместная работа электровозов невозможна (разные версии ПО);Код диагностики от БЦВ;Движение невозможно.
Боксование и юз колесных пар электровоза;;;
204;Сильное скольжение;Более 10 секунд скорость проскальзывания любой колесной пары превышает 12 км/ч;При ложной сигнализации о боксовании выключить ПБЗ.
205;Отсутствие вращения КП N...;"Напряжение контактной сети в рабочем диапазоне, соответствующий тяговый преобразователь в режиме выбега. Более 10 секунд есть сигнал слабого скольжения соответствующей колесной пары в режиме ""Выбег"".";Проверить вращение соответствующей колесной пары.
206;Неисправность ДПС колесной пары;"Напряжение контактной сети в рабочем диапазоне, скорость от тягового преобразователя соответствующей колесной пары больше 10км/ч, тяговый преобразователь в режиме тяги или торможения. Более 10 секунд есть сигнал слабого скольжения соответствующей колесной пары в режиме ""Выбег"".";При ложной сигнализации о боксовании выключить ПБЗ
207;Принудительное отключение ТЭД машинистом;Задана величина силы тяги или торможения более 50%, Есть отключенные пары ТЭД. Собрана схема тягового или тормозного режима.;Через монитор была выведена пара ТЭД. Если необходимо вернуться в соответствующее экранное меню и включить ТЭД.
208;Низкий коэффициент сцепления, рекомендуется подача песка;В течение 5 секунд отклонение суммарно реализуемых моментов от суммарно заданных составляет от 6 до 15%;Обеспечить подачу песка.
209;Очень низкий коэффициент сцепления, выполняется автоматическая подача песка;В течение 5 секунд отклонение суммарно реализуемых моментов от суммарно заданных составляет более 15%;Обеспечить соотношение заданных и реализуемых моментов для исключения скольжения колесных пар.
АБ и ППУ;;;
210;Отказ ЗУ1;При наличии готовности БПСН, наличии связи с КИ ППУ, соответствии параметров входного напряжения ППЦУ напряжение ЗУ1 в течение 15 секунд меньше 85В или в течение 2 секунд больше 190В;Причины сбоя устраняются при проведении ТО-2
211;Отказ ЗУ2;При наличии готовности БПСН, наличии связи с КИ ППУ, соответствии параметров входного напряжения ППЦУ напряжение ЗУ2 в течение 15 секунд меньше 85В или в течение 2 секунд больше 190В;Причины сбоя устраняются при проведении ТО-2
212;Отказ ЗУ;При наличии готовности БПСН, наличии связи с КИ ППУ, соответствии параметров входного напряжения ППЦУ напряжение обеих зарядных устройств в течение 15 секунд меньше 85В или в течение 2 секунд больше 190В;Включится контактор резервирования. Питание цепей управления от ППЦУ других секций. Причины сбоя устраняются по прибытии в основное депо.
213;Отказ источника питания ИП-ЛЭ;При наличии готовности БПСН, наличии связи с КИ ППУ, соответствии параметров входного напряжения ППЦУ напряжение ИП-ЛЭ в течение 15 секунд меньше 95В или в течение 2 секунд больше 200В;Питание ИП-ЛЭ от ППЦУ других секций Причины сбоя устраняются при проведении ТО-2
214;Отказ канала входного напряжения ППЦУ;При наличии готовности БПСН, входное напряжение в течение 15 секунд меньше 320В или в течение 2 секунд больше 660В;Отказ ППЦУ. Включится контактор резервирования. Питание ИП-ЛЭ от ППЦУ других секций. Причины сбоя устраняются по прибытии в основное депо.
215;Нет связи с БС-СМ;При наличии готовности БПСН, нет связи с БС-СМ (блок связи со средствами измерения) и нет признаков бустерной секции.;Причины сбоя устраняются при проведении ТО-2
216;Нет связи с ПНКВ (600В);При наличии готовности БПСН от ПНКВ ППЦУ нет сигнала в МПСУиД;Причины сбоя устраняются по прибытии в основное депо.
217;Нет связи с БС-ПС (канал 1);В течение 10 секунд нет ответов на запросы от МПСУиД к БС-ПС канал 1, величина напряжения контактной сети выше 19000В.;Причины сбоя устраняются по прибытии в основное депо.
218;Нет связи с БС-ПС (канал 2);В течение 10 секунд нет ответов на запросы от МПСУиД к БС-ПС канал 2, величина напряжения контактной сети выше 19000В.;Причины сбоя устраняются по прибытии в основное депо.
219;Нет связи с БС-ПС;В течение 10 секунд нет ответов на запросы от МПСУиД к БС-ПС по обоим каналам связи, величина напряжения контактной сети выше 19000В.;Причины сбоя устраняются по прибытии в основное депо
220;Нет замеров напряжения АБ;При наличии связи с КИ ППУв течение 40 секунд величина напряжения АБ меньше 5В;Продолжить движение, контролировать напряжение АБ по вольтметру в кабине управления.
221;Повышенный разряд батареи. Уменьшить нагрузку.;При наличии связи с КИ ППУв течение 40 секунд величина тока разрядки АБ более 50А;Уменьшить нагрузку АБ
222;Возможно, зарядное устройство вышло из строя. Отключить автомат АБ.;При наличии связи с КИ ППУв течение 10 секунд ток заряда АБ больше 32А, напряжение заряда больше 162В;Отключить автоматический выключатель АБ (SF20) в ШНА неисправной секции. Питание цепей управления от ППЦУ других секций. Причины сбоя устраняются по прибытии в основное депо.
223;АБ близка к разряду. Подними токоприемник. Включи ГВ;При наличии связи с КИ ППУ и напряжение контактной сети менее 19000В в течение 40 секунд напряжение АБ менее 105В.;Поднять токоприемник. Включить ГВ
224;АБ разряжена. Подними токоприемник. Включи ГВ;При наличии связи с КИ ППУ и напряжение контактной сети менее 19000В в течение 40 секунд напряжение АБ менее 92В.;Поднять токоприемник. Включить ГВ
225;Нет заряда АБ. Не опускать токоприемник;При наличии готовности БПСН и связи с КИ ППУ, напряжении контактной сети более 19000В. Напряжение заряда АБ менее 119В и ток заряда менее 3А;Продолжить движение. Контролировать состояние АБ
226;Повышенный ток потребления в цепях управления;При наличии связи с КИ ППУв течение 40 секунд величина тока разрядки АБ более 49А;Уменьшить нагрузку, контролировать состояние АБ.
227;Нет связи с КИ ППУ1;При напряжении контактной сети более 19000В нет связи с КИ ППУ1.;Причины сбоя устраняются при проведении ТО-2
228;Нет связи с КИ ППУ2;При напряжении контактной сети более 19000В нет связи с КИ ППУ2.;Причины сбоя устраняются при проведении ТО-2
229;Отказ источника проп. питания 1;При наличии готовности БПСН и связи с КИ ППУ, напряжение источника пропадающего питания 1 в течение 15 секунд меньше 65В или в течение 2 секунд больше 135В;Причины сбоя устраняются при проведении ТО-2
230;Отказ источника проп. питания 2;При наличии готовности БПСН и связи с КИ ППУ, напряжение источника пропадающего питания 2 в течение 15 секунд меньше 65В или в течение 2 секунд больше 135В;Причины сбоя устраняются при проведении ТО-2
231;Отказ источников проп. питания;При наличии готовности БПСН и связи с КИ ППУ, наличии входного напряжения на ППЦУ приходит сообщение об отказе обоих источников пропадающего питания.;При опущенных токоприемниках и выключенном ГВ выключить входной автомат SF20 шкафа ППЦУ. Запустить электровоз и следовать до основного депо. Включится контактор резервирования. Питание цепей управления от ППЦУ других секций.
Пневматические цепи;;;
232;Давление ТМ выше допустимого;На ведущей секции в течение 120 секунд давление в тормозной магистрали выше 0,6МПа;Проверить регулировку редуктора крана машиниста и состояние вентиля В3 с питательным клапаном
233;Давление в ГР ниже нормы. Включить компрессор;"При величине напряжения в контактной сети более 19000В нет сигналов от БСП о включении тумблера ""Компрессор"" или нажатии кнопки ""Принудительное вкл компрессоров"". Давление в ГР более 20 секунд ниже 0,7МПа.";Включить компрессор.
234;Давление в ГР ниже нормы.;"При величине напряжения в контактной сети более 19000В наличии сигнала от БСП о включении тумблера ""Компрессор"" и скорости движения более 2км/ч. Давление в ГР более 20 секунд ниже 0,7МПа.";"Перейти на ручное управление компрессором при помощи кнопки ""Принудительное вкл компрессоров""."
235;Давление в ГР выше нормы. Выключить кнопку МК принудительно;"При наличии сигнала от БСП о нажатии кнопки ""Принудительное вкл компрессоров"". Давление в ГР более 0,95МПа";"Выключить кнопку ""Принудительное вкл компрессоров""."
236;Давление в ГР выше нормы.;"При наличии сигнала от БСП о включении тумблера ""Компрессор"", нет сигнала о нажатии кнопки ""Принудительное вкл компрессоров"".
Давление в ГР более 0,95МПа";"Перейти на ручное управление компрессором при помощи кнопки ""Принудительное вкл компрессоров""."
237;Низкое давление в цепях управления;При давлении в ГР более 0,61МПа в течение 10 секунд давление в цепях управления ниже 0,34МПа;Проверить открытое положение крана КН8 на блоке пневматических приборов N 1, исправность редуктора цепей управления
238;Требуется проверка правильности включения разобщительных кранов тормозных цилиндров;Для ведущей секции в течение 5 секунд разница показаний датчиков давления УКТОЛ (из системы БЛОК) и МПСУиД более 0,1МПа. При наличии давления в тормозных цилиндрах ведущей секции более 0,15МПа и сигнала отпуска тормоза от какой-либо прицепной секции.;Проверить правильность включения разобщительных кранов тормозных цилиндров, включение реле давления на БТО, включение БВР.
;;;
