к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на тепловозах 2ТЭ25КМ;;;
;;;
N;Неисправность;Вероятная причина;Метод устранения
Наличие сигнала о включении БУ в УОИ обеих секций;;;
75;"Отключены органы управления
(Включено управление нескольких кабин)";Обе БУ включены;Проверить правильность включения блокировок управления тормозами.
;;+110В от данной БУ к УОИ;
;;Неисправность платы БОДД (ПВДД) данной УОИ;
"Наличие сигнала о нажатой кнопке ""Аварийный стоп"" в УОИ";;;
76;"Останов дизеля, включение предельника, вентиля песок и вентиля тифон при скорости выше 10 км/час
(Аварийный останов тепловоза)";Кнопка нажата;Если не нажимали - проверить состояние контактной группы кнопки Аварийный стоп.
;;Нет +110В или обрыв провода от кнопки к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
"Наличие сигнала о нажатой кнопке ""Стоп дизеля"" в УОИ";;;
77;"Запрет запуска секции
(Запуск заблокирован кнопкой ""Стоп 1"")
(Запуск заблокирован кнопкой ""Стоп 2"")";Кнопка нажата;"Проверить состояние контактной группы кнопок ""Стоп дизеля 1"" или ""Стоп дизеля 2""."
;;Нет +110В или обрыв провода от кнопки к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
Наличие сигнала от реле земли в УОИ;;;
78;"Запрет режима тяги/ЭДТ
(Пробой силовой цепи (РЗ))";Реле замкнуто;Проверить состояние реле земли. При срабатывании реле земли запрещен режим тяги и ЭДТ. Для поиска неисправной цепи, поочерёдно отключать ОМ и производить сбор тяги.
;;Наличие +110В в проводе от блок контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
Не штатный запуск дизеля;;;
79;"Предупреждение!
(Не штатный запуск дизеля)";Не штатный запуск дизеля;Произведен запуск дизеля. Проверить состояние тепловоза.
;;Загрузка программы УОИ при запущенном дизеле;
Неисправна плата БОДД в составе УОИ;;;
80;"Останов ДГУ
(Неисправна плата БОДД)";Неисправна плата;Перезапустить УОИ
;;Сбой в работе УОИ;
Отсутствие в ТИ сигнала с датчика температуры воды или отсутствие связи УОИ с ТИ;;;
81;"Предупреждение!
(Неисправен датчик темп. воды в ТИ)";Неисправен датчик;Обратить внимание и продолжить движение контролируя состояние теплоносителей дизеля.
;;Обрыв провода от датчика к ТИ;
;;Отсутствие связи УОИ с ТИ;
;;;
82;"Предупреждение!
(Неисправен датчик темп. масла в ТИ)";Неисправен датчик;Обратить внимание и продолжить движение контролируя состояние теплоносителей дизеля.
;;Обрыв провода от датчика к ТИ;
;;Отсутствие связи УОИ с ТИ;
Отсутствие в УОИ сигнала о включенном ЭПК;;;
83;"Запрет сбора/Разбор тяги
(Отключен ЭПК)";ЭПК отключен;Проверить состояние ЭПК.
;;Неисправен ЭПК;
;;Нет +110В или обрыв провода от ЭПК к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
Отсутствие в УОИ сигнала о закрытой двери блока возбуждения БВК;;;
84;"Снятие/запрет возбуждения тягового генератора (ТГ)
(Блокировка двери БВК-1012РМ (А2))";Двери открыты;Проверить закрытие двери выпрямителя, возбуждение, состояние контактов концевых выключателей.
;;Неисправны концевики;
;;Нет +110В или обрыв провода от блокировок к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
Отсутствие в УОИ сигнала о закрытой двери шестиканального выпрямителя;;;
85;"Снятие/запрет возбуждения тягового генератора (ТГ)
(Блокировка двери тягового выпрямителя (А1))";Двери открыты;Проверить закрытие двери шестиканального выпрямителя, состояние контактов концевых выключателей.
;;Неисправны концевики;
;;Нет +110В или обрыв провода от блокировок к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
Отсутствие в УОИ сигнала о закрытых дверях аппаратной камеры (# номер двери с 1 по 4);;;
86;"Снятие/запрет возбуждения ТГ
(Блокировка двери аппаратной камеры БД)";Двери открыты;Проверить закрытие дверей, состояние контактов концевых выключателей дверей высоковольтной камеры.
;;Неисправны концевики;
;;Нет +110В или обрыв провода от блокировок к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
Отсутствие в УОИ сигнала об открытых жалюзи;;;
87;"Разбор схемы ЭДТ и включение режима ""Замещение"" / разбор тяги при нагружении на тормозные резисторы
(Блокировка жалюзи ЭДТ (жалюзи не открыты))";Жалюзи закрыты;Проверить состояние жалюзи блока ЭДТ, работу пневматических вентилей ВЖТ1 и ВЖТ2, выход штока пневмоцилиндра, состояние концевого выключателя. Если причина не найдена - не пользоваться ЭДТ.
;;Неисправны блокировки;
;;Нет +110В или обрыв провода от блокировок к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
Отсутствие в УОИ сигнала с датчика давления газов в картере дизеля;;;
88;"Предупреждение!
(Датчик давл. в картере неисправен)";Неисправен датчик;Обратить внимание и продолжить движение.
;;Обрыв провода от датчика к УОИ;
Отсутствие в УОИ сигнала с датчика температуры воды;;;
89;"Предупреждение!
(Неисправен датчик темп. воды в УОИ)";Неисправен датчик;Обратить внимание и продолжить движение контролируя состояние теплоносителей дизеля.
;;Обрыв провода от датчика к УОИ;
Отсутствие в УОИ сигнала с датчика температуры масла;;;
90;"Предупреждение!
(Неисправен датчик темп. масла в УОИ)";Неисправен датчик;Обратить внимание и продолжить движение контролируя состояние теплоносителей дизеля.
;;Обрыв провода от датчика к УОИ;
Отсутствие сигнала о включении автомата в УОИ;;;
91;"Снятие/запрет возбуждения ТА
(Откл. автомат ""Возбуждение"" (SF7))";Автомат отключен;Проверить состояние автомата SF7. При отключенном автомате отсутствует охлаждение дизеля и запрещен режим тяги и ЭДТ.
;;Нет +110В или обрыв провода от блок контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Запрет режима тяги/ЭДТ
(Откл. автомат 1МТ (QF6 - обдув задней тележки))";Автомат отключен;"Проверить состояние автомата QF6. Запрещен режим тяги и ЭДТ. При отключенном автомате QF6 мотор-вентилятор задней тележки 1МТ не работает.
Дальнейшее движение возможно при отключении ТЭД передней тележки."
;;Нет +110В или обрыв провода от блок контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Запрет режима тяги/ЭДТ
(Откл. автомат 2МТ (QF5 - обдув задней тележки))";Автомат отключен;"Проверить состояние автомата QF5. Запрещен режим тяги и ЭДТ. При отключенном автомате QF5 мотор-вентилятор задней тележки 2МТ не работает.
Дальнейшее движение возможно при отключении ТЭД задней тележки."
;;Нет +110В или обрыв провода от блок контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Запрет режима тяги/ЭДТ
(Откл. автомат вент. выпрямителя (QF7))";Автомат отключен;Проверить состояние автомата QF7. При отключенном автомате запрещен режим тяги и ЭДТ.
;;Нет +110В или обрыв провода от блок контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Отключено питание исполнительных устройств и органов управления. Останов дизеля!
(Отключен ав. ""Управление общее"" (SF5))";Автомат отключен;Проверить автомат, подводящие провода, наличие земли в цепях управления. Определить причину срабатывания автомата поочередным отключением цепей.
;;Нет +110В или обрыв провода от блок контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Не включается КДК и КУДК
(Отключен ав. компрессора (АМК))";Автомат отключен;Проверить состояние автомата. (Компрессор не работает).
;;Нет +110В или обрыв провода от блок контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Запрет работы компрессора
(Отключен ав. сист. управления компрессора (SF20))";Автомат отключен;Проверить состояние автомата (Компрессор не работает).
;;Нет +110В или обрыв провода от блок контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Останов/Запрет запуска дизеля
(Пожарная сигнализация не работает (не включена))";Автомат отключен;Проверить состояние автомата SF2. При отключенном автомате запуск дизеля запрещен.
;;Нет +110В или обрыв провода от блок контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
Отсутствие сигнала о включении БУ в УОИ (в односекционном режиме) или в УОИ на обеих секциях;;;
92;"Отключены органы управления
(Включите блокировку управления)";БУ отключена;Выберите главную кабину, включив блокировку управления тормозами.
;;Нет +110В или обрыв провода от БУ к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
Отсутствие сигнала о целостности предохранителя в УОИ;;;
93;"Запрет режима тяги/ЭДТ
(Авария предохранителя тягового выпрямителя (1 канал))";Предохранитель сгорел;Выключить ОМ1 и продолжить движение.
;;Нет +110В или обрыв провода от предохранитель к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Запрет режима тяги/ЭДТ
(Авария предохранителя тягового выпрямителя (2 канал))";Предохранитель сгорел;Выключить ОМ2 и продолжить движение.
;;Нет +110В или обрыв провода от предохранитель к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Запрет режима тяги/ЭДТ
(Авария предохранителя тягового выпрямителя (3 канал))";Предохранитель сгорел;Выключить ОМ3 и продолжить движение.
;;Нет +110В или обрыв провода от предохранитель к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Запрет режима тяги/ЭДТ
(Авария предохранителя тягового выпрямителя (4 канал))";Предохранитель сгорел;Выключить ОМ4 и продолжить движение.
;;Нет +110В или обрыв провода от предохранитель к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Запрет режима тяги/ЭДТ
(Авария предохранителя тягового выпрямителя (5 канал))";Предохранитель сгорел;Выключить ОМ5 и продолжить движение.
;;Нет +110В или обрыв провода от предохранитель к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Запрет режима тяги/ЭДТ
(Авария предохранителя тягового выпрямителя (6 канал))";Предохранитель сгорел;Выключить ОМ6 и продолжить движение.
;;Нет +110В или обрыв провода от предохранитель к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
Отсутствует ток мотор-компрессора;;;
94;"Предупреждение!
(Нет тока мотор-компрессора!)";Неисправен двигатель мотор-компрессора;Проверить напряжение бортовой сети. При наличии напряжения включить компрессор в ручном режиме.
;;Неисправен датчик тока;
;;Отсутствует напряжение бортовой сети;
Отсутствует ток ТЭД1...ТЭД6;;;
95;"Предупреждение!
(Нет тока ТЭД1...ТЭД6)";Неисправен 1...6 канал тягового выпрямителя;Отключить соответствующий ОМ и продолжить движение.
;;Неисправна плата УВ в УОИ;
;;Неисправен датчик тока;
;;Обрыв провода от датчика к УОИ;
Переход в ЭДТ при отключенных ОМ1-ОМ6;;;
96;"Снятие/запрет схемы ЭДТ
(Включены не все ТЭДы)";Выключены тумблеры ОМ1-6;Проверить состояние тумблеров ОМ1-6. Включить тумблеры ОМ1-6.
;;Нет +110В или обрыв проводов от тумблеров;
;;Неисправность платы БОДД(ПВДД) УОИ;
"После режима ""Раскрутки"" в УОИ сигнал о давлении масла меньше 0,5 кгс/см2 датчика ВР1";;;
97;"После режима ""Раскрутки"" переход в режим ""Останов""
(Дизель не запустился)";Давление меньше нормы;Проверить уровень масла (падение давления при провороте), положение предельного выключателя и воздушной захлопки.
;;Обрыв проводов к датчику;
;;Неисправен датчик;
;;Неисправна плата БОАД/ ПВАД/ БПД1 УОИ;
После установления связи со второй секцией тепловоза в течении 5 секунд отсутствует приём данных;;;
98;"Предупреждение!
(Нет приема с тепловозом)";Отключено питание УОИ второй секции;Обратить внимание. Если питание УОИ второй секции не выключалось, то необходимо проверить межтепловозное соединение.
;;Неисправна межсекционная линия связи;
При включении устройством обработки информации (УОИ) контактора КМ2...КМ7,КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 сигнал обратной связи о его включении в УОИ не приходит;;;
99;"Предупреждение!
(КМ2 не включился)";Несправен контактор;Проверить наличие возбуждения тягового генератора. При наличии - обратить внимание и продолжить движение. При отсутствии - выключить и включить заново автомат SF10. При повторном сообщении прекратить движение и вызвать вспомогательный локомотив.
;;Обрыв провода к катушке контактора или отсутствие +110В;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Обрыв провода от блок-контакта;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Предупреждение!
(КМ3 не включился)";Несправен контактор;Обратить внимание.
;;Обрыв провода к катушке контактора или отсутствие +110В;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Обрыв провода от блок-контакта;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Предупреждение!
(КМ4 не включился)";Несправен контактор;Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления. При выключенном контакторе КМ4, мотор-вентилятор холодильника (1МВ) не работает.
;;Обрыв провода к катушке контактора или отсутствие +110В;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Обрыв провода от блок-контакта;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Предупреждение!
(КМ5 не включился)";Несправен контактор;Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления. При выключенном контакторе КМ5, мотор-вентилятор холодильника (4МВ) не работает.
;;Обрыв провода к катушке контактора или отсутствие +110В;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Обрыв провода от блок-контакта;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Предупреждение!
(КМ6 не включился)";Несправен контактор;Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления. При выключенном контакторе КМ6, мотор-вентилятор холодильника (2МВ) не работает.
;;Обрыв провода к катушке контактора или отсутствие +110В;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Обрыв провода от блок-контакта;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Предупреждение!
(КМ7 не включился)";Несправен контактор;Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления. При выключенном контакторе КМ7, мотор-вентилятор холодильника (3МВ) не работает.
;;Обрыв провода к катушке контактора или отсутствие +110В;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Обрыв провода от блок-контакта;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Отключение КДК и КУДК
(КДК не включился)";Несправен контактор;"Проверить контактор и его блок-контакты.
Внимание! Компрессор на данной секции не работает."
;;Обрыв провода к катушке контактора или отсутствие +110В;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Обрыв провода от блок-контакта;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Прекращение запуска дизеля
(КМН не включился)";Несправен контактор;Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления.
;;Обрыв провода к катушке контактора или отсутствие +110В;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Обрыв провода от блок-контакта;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Отключение КРН
Возможно отсутствие зарядки АБ
(КРН не включился)";Несправен контактор;"Проверить контактор и его блок-контакты.
Внимание! Отсутствует заряд аккумуляторной батареи! Не работает компрессор. Отключить лишние потребители!"
;;Обрыв провода к катушке контактора или отсутствие +110В;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Обрыв провода от блок-контакта;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Предупреждение!
(КТН не включился)";Несправен контактор;Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления.
;;Обрыв провода к катушке контактора или отсутствие +110В;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Обрыв провода от блок-контакта;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Отключение КДК и КУДК
(КУДК не включился)";Несправен контактор;"Проверить контактор и его блок-контакты.
Внимание! Компрессор на данной секции не работает."
;;Обрыв провода к катушке контактора или отсутствие +110В;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Обрыв провода от блок-контакта;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Запрет сборки схемы тормоза. Переход на замещение
(ТК не включился)";Несправен контактор;Проверить контактор и его блок-контакты.
;;Обрыв провода к катушке контактора или отсутствие +110В;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Обрыв провода от блок-контакта;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Прекращение запуска дизеля
(Д1 не включился)
(Д2 не включился)";Несправен контактор;Проверить контактор и его блок-контакты.
;;Обрыв провода к катушке контактора или отсутствие +110В;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Обрыв провода от блок-контакта;
;;Неисправность платы БОДД (ПВДД) УОИ;
При включении устройством обработки информации (УОИ) вентиля жалюзи лев. сигнал от датчика открытия жалюзи в УОИ не приходит;;;
100;"Предупреждение!
(Боковые жалюзи слева не открыты)
(Боковые жалюзи справа(3МВ) не открыты)";Несправен вентиль;Обратить внимание. При необходимости отрегулировать привод жалюзи левой/правой стороны.
;;Обрыв провода к катушке контактора или отсутствие +110В;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Отсутствует воздух в пневматической системе;
;;Обрыв провода от датчика открытия жалюзи;
;;Неисправность платы БОДД (ПВДД) УОИ;
;;Не срабатывает датчик открытия жалюзи;
При включении устройством обработки информации (УОИ) переключателя КШ сигнал обратной связи о его включении в УОИ не приходит;;;
101;"Предупреждение!
(КШ1 не включился)
(КШ2 не включился)";Несправен переключатель;Обратить внимание. Проверить переключатель и его блок-контакты.
;;Обрыв провода к катушке переключателя или отсутствие +110В;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Неисправна пневматический привод переключателя;
;;Обрыв провода от блок-контакта;
;;Неисправность платы БОДД (ПВДД) УОИ;
При включении устройством обработки информации (УОИ) переключателя П1 сигнал обратной связи о его включении в УОИ не приходит;;;
102;"Запрет сборки схемы тяги/тормоза
(Контактор поездной (П1...П6) не включился)";Несправен переключатель;Проверить переключатель и его блок-контакты. Проверить наличие воздуха в пневматической системе привода переключателя. При повторном сообщении выключить ОМ1...ОМ6.
;;Обрыв провода к катушке переключателя или отсутствие +110В;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Неисправна пневматический привод переключателя;
;;Обрыв провода от блок-контакта;
;;еисправность платы БОДД (ПВДД) УОИ;
При включении устройством обработки информации (УОИ) переключателя Р, ТП сигнал обратной связи о его включении в УОИ не приходит;;;
103;"Запрет сборки схемы тяги/тормоза
(Реверсор (Р) (вперед) не включился)
(Реверсор (Р) (назад) не включился)";Несправен переключатель;Проверить переключатель и его блок-контакты. Проверить наличие воздуха в пневматической системе привода переключателя. При повторном сообщении прекратить движение и вызвать вспомогательный локомотив.
;;Обрыв провода к катушке переключателя или отсутствие +110В;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Неисправна пневматический привод переключателя;
;;Обрыв провода от блок-контакта;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Запрет сборки схемы тормоза
(ТП (тормоз) не включился)
(ТП (тяга) не включился)";Несправен переключатель;Проверить переключатель и его блок-контакты. Проверить наличие воздуха в пневматической системе привода переключателя. При повторном сообщении прекратить движение и вызвать вспомогательный локомотив.
;;Обрыв провода к катушке переключателя или отсутствие +110В;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Неисправна пневматический привод переключателя;
;;Обрыв провода от блок-контакта;
;;Неисправность платы БОДД (ПВДД) УОИ;
При включенном устройством обработки информации (УОИ) контакторе КМ2...КМ7, КДК, КМН, КРН, КТН, КУДК, ТК, Д1, Д2 в УОИ приходит сигнал обратной связи о его отключении;;;
104;"Предупреждение!
(КМ2 самопроизвольно отключился)";Нет напряжения +110В на катушке контактора;Обратить внимание. Проверить наличие возбуждения тягового генератора. При наличии - обратить внимание и продолжить движение. При отсутствии - выключить и включить заново автомат SF10.
;;Неисправность платы БСК (ПВСК) УОИ;
;;Неисправность блок-контакта;
;;Отсутствие +110В в проводе от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Предупреждение!
(КМ3 самопроизвольно отключился)";Нет напряжения +110В на катушке контактора;Обратить внимание.
;;Неисправность платы БСК (ПВСК) УОИ;
;;Неисправность блок-контакта;
;;Отсутствие +110В в проводе от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Предупреждение!
(КМ4 самопроизвольно отключился)";Нет напряжения +110В на катушке контактора;Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления. При выключенном контакторе КМ4, мотор-вентилятор холодильника (1МВ) не работает.
;;Неисправность платы БСК (ПВСК) УОИ;
;;Неисправность блок-контакта;
;;Отсутствие +110В в проводе от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Предупреждение!
(КМ5 самопроизвольно отключился)";Нет напряжения +110В на катушке контактора;Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления. При выключенном контакторе КМ5, мотор-вентилятор холодильника (4МВ) не работает.
;;Неисправность платы БСК (ПВСК) УОИ;
;;Неисправность блок-контакта;
;;Отсутствие +110В в проводе от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Предупреждение!
(КМ6 самопроизвольно отключился)";Нет напряжения +110В на катушке контактора;Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления. При выключенном контакторе КМ6, мотор-вентилятор холодильника (2МВ) не работает.
;;Неисправность платы БСК (ПВСК) УОИ;
;;Неисправность блок-контакта;
;;Отсутствие +110В в проводе от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Предупреждение!
(КМ7 самопроизвольно отключился)";Нет напряжения +110В на катушке контактора;Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления. При выключенном контакторе КМ7, мотор-вентилятор холодильника (3МВ) не работает.
;;Неисправность платы БСК (ПВСК) УОИ;
;;Неисправность блок-контакта;
;;Отсутствие +110В в проводе от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Отключение КДК и КУДК
(КДК самопроизвольно отключился)";Нет напряжения +110В на катушке контактора;"Проверить контактор и его блок-контакты.
Внимание! Компрессор на данной секции не работает."
;;Неисправность платы БСК (ПВСК) УОИ;
;;Неисправность блок-контакта;
;;Отсутствие +110В в проводе от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Прекращение запуска дизеля.
(КМН самопроизвольно отключился)";Нет напряжения +110В на катушке контактора;Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления.
;;Неисправность платы БСК (ПВСК) УОИ;
;;Неисправность блок-контакта;
;;Отсутствие +110В в проводе от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Отключение КРН
Возможно отсутствие зарядки АБ
(КРН самопроизвольно отключился)";Нет напряжения +110В на катушке контактора;"Проверить контактор и его блок-контакты.
Внимание! Отсутствует заряд аккумуляторной батареи! Не работает компрессор. Отключить лишние потребители!"
;;Неисправность платы БСК (ПВСК) УОИ;
;;Неисправность блок-контакта;
;;Отсутствие +110В в проводе от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Предупреждение!
(КТН самопроизвольно отключился)";Нет напряжения +110В на катушке контактора;Проверить контактор и его блок-контакты. Проверить наличие земли в цепях управления.
;;Неисправность платы БСК (ПВСК) УОИ;
;;Неисправность блок-контакта;
;;Отсутствие +110В в проводе от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Отключение КДК и КУДК
(КУДК самопроизвольно отключился)";Нет напряжения +110В на катушке контактора;"Проверить контактор и его блок-контакты.
Внимание! Компрессор на данной секции не работает."
;;Неисправность платы БСК (ПВСК) УОИ;
;;Неисправность блок-контакта;
;;Отсутствие +110В в проводе от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Запрет сборки схемы тормоза. Переход на замещение
(ТК самопроизвольно отключился)";Нет напряжения +110В на катушке контактора;Проверить контактор и его блок-контакты.
;;Неисправность платы БСК (ПВСК) УОИ;
;;Неисправность блок-контакта;
;;Отсутствие +110В в проводе от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Прекращение запуска дизеля.
(Д1 самопроизвольно отключился)
(Д2 самопроизвольно отключился)";Нет напряжения +110В на катушке контактора;Проверить контактор и его блок-контакты.
;;Неисправность платы БСК (ПВСК) УОИ;
;;Неисправность блок-контакта;
;;Отсутствие +110В в проводе от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
При включенном устройством обработки информации (УОИ) вентиля жалюзи сигнал от датчика открытия жалюзи в УОИ не приходит;;;
105;"Предупреждение!
(Боковые жалюзи слева самопроизвольно закрылись)
(Боковые жалюзи справа(3МВ) самопроизвольно закрылись)
(Боковые жалюзи справа(4МВ) самопроизвольно закрылись)";Нет напряжения +110В на катушке вентиля;Обратить внимание. Жалюзи могут быть закрыты.
;;Неисправность платы БСК (ПВСК) УОИ;
;;Отсутствует воздух в пневматической системе;
;;Неисправность датчика открытия жалюзи;
;;Отсутствие +110В в проводе от датчика к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
При включенном устройством обработки информации (УОИ) переключателя КШ в УОИ приходит сигнал обратной связи о его отключении;;;
106;"Предупреждение!
(КШ1 самопроизвольно отключился)
(КШ2 самопроизвольно отключился)";Нет напряжения +110В на катушке переключателя;Обратить внимание. Проверить переключатель и его блок-контакты.
;;Неисправность платы БСК (ПВСК) УОИ;
;;Неисправна пневматический привод переключателя;
;;Неисправность блок-контакта;
;;Отсутствие +110В в проводе от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
При включенном устройством обработки информации (УОИ) переключателя П1...П6 в УОИ приходит сигнал обратной связи о его отключении;;;
107;"Запрет сборки схемы тяги/тормоза
(Контактор поездной (П1...П6) самопроизвольно отключился)";Нет напряжения +110В на катушке переключателя;Проверить переключатель и его блок-контакты. Проверить наличие воздуха в пневматической системе привода переключателя. При повторном сообщении выключить ОМ1...ОМ6.
;;Неисправность платы БСК (ПВСК) УОИ;
;;Неисправна пневматический привод переключателя;
;;Неисправность блок-контакта;
;;Отсутствие +110В в проводе от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
При включенном устройством обработки информации (УОИ) переключателя Р, ТП в УОИ приходит сигнал обратной связи о его отключении;;;
108;"Запрет сборки схемы тяги/тормоза
(Реверсор (Р) (вперед) самопроизвольно отключился)
(Реверсор (Р) (назад) самопроизвольно отключился)";Нет напряжения +110В на катушке переключателя;Проверить переключатель и его блок-контакты. Проверить наличие воздуха в пневматической системе привода переключателя. При повторном сообщении прекратить движение и вызвать вспомогательный локомотив.
;;Неисправность платы БСК (ПВСК) УОИ;
;;Неисправна пневматический привод переключателя;
;;Неисправность блок-контакта;
;;Отсутствие +110В в проводе от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
;"Запрет сборки схемы тормоза
(ТП (тормоз) самопроизвольно отключился)";Нет напряжения +110В на катушке переключателя;Проверить переключатель и его блок-контакты. Проверить наличие воздуха в пневматической системе привода переключателя. При повторном сообщении прекратить движение и вызвать вспомогательный локомотив.
;;Неисправность платы БСК (ПВСК) УОИ;
;"Запрет сборки схемы тормоза
(ТП (тормоз) самопроизвольно отключился)";Неисправна пневматический привод переключателя;Проверить переключатель и его блок-контакты. Проверить наличие воздуха в пневматической системе привода переключателя. При повторном сообщении прекратить движение и вызвать вспомогательный локомотив.
;;Неисправность блок-контакта;
;;Отсутствие +110В в проводе от блок-контакта к УОИ;
;"Запрет сборки схемы тяги
(ТП (тяга) самопроизвольно отключился)";Нет напряжения +110В на катушке переключателя;
;;Неисправность платы БСК (ПВСК) УОИ;
;;Неисправна пневматический привод переключателя;
;;Неисправность блок-контакта;
;;Отсутствие +110В в проводе от блок-контакта к УОИ;
;;Неисправность платы БОДД (ПВДД) УОИ;
"При задании режима ""Тяги"" отсутствует сигнал блокировки нагружения";;;
109;"Предупреждение!
(Нагружение ДГ на тормозные резисторы (откл. БН))";Собрана схема тепловоза в режим реостата;Обратить внимание. При ложном сигнале проверить правильность сборки схемы реостата.
;;Ложный сигнал на дискретном входе блокировка нагружения;
