к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей в пути следования на тепловозах серии ТЭМ18Д, ДМ;;;
;;;
N;Неисправность;Вероятная причина;Метод устранения
116;Нет связи ТП1 с МПСУ [Отключи ОМ 1, 2, 3].;;Переключить автомат питания ТП. Если не помогает, выключить все три ОМ данной тележки, проверить отключение размыкателя в ТП (кадр 3). Если размыкатель не отключился - нажать на кнопку на ТП (автомат питания ТП должен быть включен).
117;Нет связи ТП2 с МПСУ [Отключи ОМ 4, 5, 6].;;Переключить автомат питания ТП. Если не помогает, выключить все три ОМ данной тележки, проверить отключение размыкателя в ТП.
118;Нет тока возбуждения тягового генератора.;;"Повторно поставить 1 позицию тяги или переключить тумблер ""Возбуждение"". По кадру ""Электрооборудование/Возбуждение"" контролировать включение контактора КМ1, появление тока вспомогательного генератора."
119;Нет управления второй секцией.;;Проверить работу УОИ второй секции и разъемы межсекционного соединения, перезагрузи МПСУ.
120;Обрыв датчиков температуры ТЭД.;;Допускается продолжить движение. Отметить в замечаниях.
121;Обрыв тормозной магистрали.;;Контролировать давление в тормозной магистрали по манометру.
122;Опущено валоповоротное устройство.;;Проверить положение валоповоротного устройства и состояние контактной группы блокировки 105.
123;Останов дизеля - малое давление масла.;;"Проверить уровень масла, сравнить показания датчиков давления масла на входе и выходе дизеля (кадр ""Дизель"", ""Масляная система""). Проверить состояние разъема датчика."
124;Отключен автомат QF12 в силовой цепи преобразователя А76.;;"Проверить состояние автомата QF12 в тамбуре (Кадр ""Вспомогательное оборудование/Охлаждение ТА и ТЭД""). При необходимости взвести. При повторном выбивании перевести секцию на ""Холостой ход""."
125;"Отключен автомат QF16 в
силовой цепи преобразователь А18.";;"Проверить состояние автомата QF16 в тамбуре (Кадр ""Вспомогательное оборудование/ Охлаждение ТА и ТЭД""). При необходимости взвести. При повторном выбивании перейти на резервную схему или перевести секцию на ""Холостой ход""."
126;"Отключен автомат QF18 в
силовой цепи преобразователь А18.";;"Проверить состояние автомата QF18 в тамбуре (Кадр ""Вспомогательное оборудование/Охлаждение ТА и ТЭД""). При необходимости взвести. При повторном выбивании перевести секцию на ""Холостой ход""."
127;Отключен автомат QF2 в силовой цепи преобразователь А5.;;"Проверить состояние автомата QF2 в тамбуре. При необходимости взвести. При повторном выбивании перейти на резервную схему или перевести секцию на ""Холостой ход""."
128;Отключен автомат QF3 в силовой цепи преобразователь А5.;;"Проверить состояние автомата QF7 в тамбуре. При необходимости взвести. При повторном выбивании перевести секцию на ""Холостой ход""."
129;Отключен автомат QF4 в силовой цепи преобразователь А6.;;"Проверить состояние автомата QF4 в тамбуре. При необходимости взвести. При повторном выбивании перейти на резервную схему или перевести секцию на ""Холостой ход""."
130;Отключен автомат QF8 в силовой цепи преобразователь А6.;;"Проверить состояние автомата QF8 в тамбуре. При необходимости взвести. При повторном выбивании перевести секцию на ""Холостой ход""."
131;Отключен автомат QF9 в силовой цепи преобразователь А7.;;"Проверить состояние автомата QF9 в тамбуре
(Кадр ""Вспомогательное оборудование/ Охлаждение ТА и ТЭД""). При необходимости взвести. При повторном выбивании перейти на резервную схему или перевести секцию на ""Холостой ход""."
132;Отключен автомат вентилятора вентиляторов.;;Проверить состояние автомата. Режим тяги разрешен. Отметить в замечаниях.
133;"Отключен автомат ""Возбуждения"".";;"Проверить автомат. Автомат может быть выбит
РЗВ или отключенным QF6. Включать QF1 надо после включения QF6!"
134;Отключен автомат защиты возбуждения.;;"Проверить автомат, подводящие провода (Внимание! Возбуждения ТА не будет. Секцию - в ""Холостой ход"". Контролировать температуру теплоносителей дизеля)."
135;Отключен автомат питания преобразователь А18.;;Проверить состояние автомата SF21 в высоковольтной камере, при необходимости взвести. При повторном выбивании перевести преобразователь на резервную схему.
136;Отключен автомат питания преобразователь А5.;;Проверить состояние автомата SF16 в высоковольтной камере, при необходимости взвести. При повторном выбивании перевести преобразователь на резервную схему.
137;Отключен автомат питания преобразователь А6.;;Проверить состояние автомата SF17 в высоковольтной камере, при необходимости взвести. При повторном выбивании перевести преобразователь на резервную схему.
138;Отключен автомат питания преобразователь А7.;;Проверить состояние автомата SF18 в высоковольтной камере, при необходимости взвести. При повторном выбивании перевести преобразователь на резервную схему.
139;Отключен автомат питания тормозного оборудование.;;Проверить состояние автомата. (Кран 130 работать не будет, перейти на резервный кран).
140;Отключен автомат питания ТП1 или ТП2.;;Проверить автомат питания ТП. Если не помогает, выключить все три ОМ данной тележки, проверить отключение размыкателя в ТП.
141;Отключен автомат управление общее.;;Проверить автомат, подводящие провода, наличие земли в цепях управления. Определить причину срабатывания автомата поочередным отключением цепей.
142;Отключен автомат питание MTU.;;Проверьте состояние автоматического выключателя. Включите автомат.
143;"Отключен автомат питание ""Суперконденсаторов"".";;Проверьте состояние автоматического выключателя. Включите автомат.
144;Отключен автомат пожарной сигнализации.;;Проверить состояние автомата SF10. При отключенном автомате запуск дизеля запрещен.
145;Отключены все автоматы в силовой цепи преобразователя А18.;;"Проверить состояние автоматов QF16, QF18, QF17 в тамбуре. (Кадр ""Вспомогательное оборудование/ Охлаждение ТА и ТЭД"")."
146;Открыта дверь в ТП1.;;Закрыть двери, проверить состояние концевых выключателей. Если не помогает выключить все три ОМ данной тележки. Проверить по ДМ отключение размыкателя.
147;Ошибка платы БОАД.;;Неисправно УОИ. Проверьте установку платы БОДД, перезагрузите УОИ, если не помогает вызовите вспомогательный локомотив.
148;Перегрев в ТП1.;;Контролировать температуру радиаторов. Проверить состояние моторов охлаждения ТП. Перегретый канал ТП будет автоматически отключен и включен по мере остывания.
149;Перегрев ТА.;;"Проверить забор воздуха на охлаждение агрегата, по кадру ""Вспомогательные системы"", ""Охлаждение ТЭД и ТА"" проверить работу мотор-вентиляторов."
150;Перегрев ТЭД1.;;"Поверить забор и подачу воздуха на охлаждение ТЭД, по кадру ""Вспомогательные системы"", ""Охлаждение ТЭД и ТА"" проверить работу мотор-вентилятора. При неисправности преобразователя частоты А7 - перейти на резервную схему."
151;Перегрузка 1-ой звезды ТГ.;;Повторно собрать схему тяги, следовать на более низких позициях. При повторном срабатывании выключить все три ОМ данной тележки, проверить отключение размыкателя в ТП.
152;Плата БОДД не отвечает.;;Неисправно УОИ. Проверьте установку платы БОДД, перезагрузите УОИ, если не помогает вызовите вспомогательный локомотив.
153;Превышение конструкционной скорости.;;Если ложное, то проверь тяговые преобразователи (кадр 3). Поочередным отключением ОМ определи неисправный ДЧВ или отключи все три ОМ.
154;Превышение скорости тележкой 1.;;Если ложное, то проверь тяговые преобразователи (кадр 3). Поочередным отключением ОМ определи неисправный ДЧВ, или отключи все три ОМ, проверить отключение размыкателя в ТП.
155;Реанимация.;;Произошел штатный перезапуск УОИ при работающем дизеле. Проверь возбуждение. Можно собирать тягу.
156;РЗ по 1-ой тележке.;;Повторно собрать схему тяги. Поочередным отключением ОМ определить неисправный ТЭД. Если не помогает, то выключить все три ОМ данной тележки, проверить отключение размыкателя в ТП.
157;Сбой в САУ ТП1.;;Запуск дизеля производить ТОЛЬКО при отключенных автоматах питания ТП. Переключить автомат питания ТП (с выдержкой не менее 5 с). При повторном срабатывании выключить все три ОМ данной тележки, проверить отключение размыкателя в ТП.
158;Сброс нагрузки малое давление масла.;;Проверить уровень масла, сравнить показания датчиков давления масла на входе и выходе дизеля (кадр Дизель, Масляная система). Проверить состояние разъема датчика.
159;Сброс нагрузки по перегреву воды.;;"Проверить положение тумблера ""управление холодильником"", проверить наличие воды, открытие жалюзи, работу мотор-вентиляторов (Кадр 4). При неисправности преобразователя частоты перейти на резервную схему."
160;Сброс нагрузки по перегреву масла.;;"Проверить положение тумблера ""управление холодильником"", проверить наличие воды, открытие жалюзи, работу мотор-вентиляторов (Кадр 4). При неисправности преобразователя частоты (А5 или А6) - перейти на резервную схему."
161;Сработало реле защиты вспомогательного генератора.;;"Проверить состояние автоматов QF1 и QF6. При необходимости взвести, проверить наличие возбуждения. При повторном срабатывании секцию в ""Холостой ход""."
162;Стоп дизеля - малое давление масла.;;Проверить уровень масла, сравнить показания датчиков давления масла на входе и выходе дизеля (кадр Дизель, Масляная система).
163;Стоп дизеля - превышение оборотов.;;"Проверить состояние механического предельного выключателя дизеля и воздушной захлопки. Допускается запуск дизеля, при повторном срабатывании защиты перевести секцию в ""Холостой ход""."
164;Тележка 1 едет в другую сторону.;;Возможно при скатывании со скоростью более 3 км/ч. Перед началом движения произвести останов локомотива.
165;Температура воды более 100°C.;;"Проверить положение тумблера ""управление холодильником"", проверить наличие воды, открытие жалюзи, работу мотор-вентиляторов."
166;Температура масла более 85°C.;;"Проверить положение тумблера ""управление холодильником"", проверить наличие воды, открытие жалюзи, работу мотор-вентиляторов."
167;Температурный измеритель зашкаливает.;;Перезагрузи МПСУ. Проверь работу САРТ дизеля, если ложно повышены температуры, то перейти на ручное управление, контроль за температурой по другой секции.
168;Температурный измеритель ИТ1, ИТ2 зашкаливает.;;Перезагрузи МПСУ. Проверь работу САРТ дизеля (кадр 4), если ложно повышены температуры, то перейти на ручное управление, контроль за температурой по другой секции.
169;Ток возбуждения вспомогательного генератора большой.;;"Следовать на более низких позициях или перевести секцию в ""Холостой ход""."
170;Ток двигателя компрессора большой.;;Возможно появление при низкой температуре масла компрессора. Переключи автомат АМК - будет произведен повторный запуск. Допустимо 3-4 раза для прогрева масла. Если не помогает отключи компрессор автоматом АМК.
171;Ускорение ТЭД1 6 > max.;;Повторно собрать схему тяги. При повторном срабатывании выключить соответствующий ОМ.
172;ЭДТ не эффективен (замещение на пневмотормоз).;;Скорость менее 15 км/ч или сработала защита по ТП1 или ТП2.
173;Iторм ТЭД 1, 2, 3, 4, 5, 6 < min;;Запрет пользования ЭДТ. При повторном срабатывании выключить все три ОМ данной тележки, проверить отключение размыкателя в ТП (кадр 3).
;;;
